story_id;story_id_original;Readability;Narrative elts.;Structural elts.;Plot logic;Creativity;JKT style;Epic genre;Combat;Acc. characters;Humor;user
3V7S;stablelm;5;4;8;2;3;1;3;2;1;1;user1
4GOW;gpt4all;3;3;6;2;2;1;2;6;1;1;user1
5LQ9;vicuna;6;6;6;5;4;3;3;6;2;1;user1
7UKN;chatgpt-gpt4;8;8;9;8;7;7;8;8;7;6;user1
8X76;chatgpt-free;4;3;8;2;3;3;6;7;3;2;user1
9189;alpaca;1;1;4;2;1;1;1;2;1;1;user1
E12Z;bing;3;2;6;3;3;2;2;4;4;2;user1
EE4I;bard;2;1;5;1;2;2;3;1;2;1;user1
HBE3;claude12;4;4;7;3;3;3;3;4;2;3;user1
M8M5;oa;2;2;2;2;3;2;2;3;1;1;user1
MSVY;human;6;6;7;8;7;4;3;5;4;5;user1
STXW;koala;2;2;6;2;1;2;2;1;1;2;user1
TRVC;dolly;4;8;3;2;4;2;2;1;2;1;user1
3V7S;stablelm;6;8;7;3;2;1;5;6;3;1;user2
4GOW;gpt4all;7;7;8;8;3;2;7;10;3;1;user2
5LQ9;vicuna;6;8;6;8;7;3;7;7;6;3;user2
7UKN;chatgpt-gpt4;10;10;9;9;8;9;10;10;10;10;user2
8X76;chatgpt-free;9;10;9;9;9;8;7;9;9;8;user2
9189;alpaca;2;2;1;2;1;1;1;1;1;1;user2
E12Z;bing;7;8;7;9;7;8;5;6;7;6;user2
EE4I;bard;6;4;3;4;1;1;1;2;2;2;user2
HBE3;claude12;9;8;8;9;10;9;7;7;9;10;user2
M8M5;oa;7;8;7;8;6;2;6;8;2;1;user2
MSVY;human;6;9;6;5;9;7;7;6;6;4;user2
STXW;koala;9;9;8;10;9;7;8;9;7;8;user2
TRVC;dolly;3;7;2;1;8;6;7;5;4;3;user2
0BDQ;stablelm;8;10;9;9;7;8;9;7;9;5;user3
2RYL;gpt4all;9;8;7;7;9;3;6;6;4;3;user3
3LNP;vicuna;10;8;9;9;7;8;8;9;10;5;user3
4OIE;bard;9;7;8;9;8;7;7;8;9;6;user3
4UK5;koala;9;8;8;9;7;9;8;5;6;7;user3
7VXP;human;8;9;9;10;8;10;5;9;10;9;user3
8Q1Q;claude12;7;9;7;8;6;6;6;8;6;6;user3
D9WZ;dolly;5;4;8;2;3;2;5;1;2;1;user3
HRLV;bing;9;8;7;9;8;8;4;6;9;7;user3
KX0B;chatgpt-gpt4;9;9;6;9;8;7;7;9;8;5;user3
MSP3;alpaca;7;3;5;5;3;4;4;7;6;1;user3
U360;oa;9;10;8;10;9;8;8;10;9;8;user3
XWOA;chatgpt-free;10;9;7;8;9;7;6;8;9;6;user3
0BDQ;stablelm;9;6;7;5;4;3;5;6;5;3;user4
2RYL;gpt4all;8;5;5;7;5;3;6;5;5;1;user4
3LNP;vicuna;9;8;8;7;6;5;5;5;7;3;user4
4OIE;bard;9;5;6;6;4;4;6;5;7;3;user4
4UK5;koala;9;8;8;8;8;5;7;6;8;7;user4
7VXP;human;8;7;7;7;10;8;6;8;8;9;user4
8Q1Q;claude12;8;8;6;8;7;6;7;7;5;5;user4
D9WZ;dolly;7;5;5;5;3;5;6;3;5;1;user4
HRLV;bing;9;8;8;7;7;8;8;6;7;7;user4
KX0B;chatgpt-gpt4;9;8;9;7;6;6;8;9;6;4;user4
MSP3;alpaca;9;3;1;3;3;4;6;5;2;1;user4
U360;oa;8;5;4;5;7;6;6;7;5;9;user4
XWOA;chatgpt-free;8;7;6;6;5;5;8;8;6;6;user4
8UJF;gpt4all;9;7;8;9;6;7;8;5;3;1;user5
2477;claude12;9;8;8;9;10;7;7;9;8;3;user5
B2NX;chatgpt-gpt4;8;9;9;9;9;9;8;7;8;1;user5
CG9C;alpaca;5;2;2;6;1;1;1;2;2;0;user5
FB5P;stablelm;5;4;6;4;3;2;2;1;1;0;user5
FHWX;bard;7;5;8;5;4;6;4;4;7;2;user5
H45J;chatgpt-free;8;7;8;7;6;8;7;7;6;0;user5
HJYG;human;9;6;8;6;7;6;4;4;7;2;user5
L9PD;bing;7;6;5;5;6;3;2;3;3;1;user5
O58A;vicuna;8;8;9;7;8;7;5;3;5;0;user5
OHLS;koala;8;7;8;7;7;6;6;5;6;1;user5
Q1QX;dolly;6;6;6;6;7;5;4;4;4;0;user5
V455;oa;8;8;9;8;6;7;6;6;6;0;user5
8UJF;gpt4all;9;7;8;9;2;1;9;8;3;1;user6
2477;claude12;9;9;10;8;4;9;7;8;10;7;user6
B2NX;chatgpt-gpt4;9;9;9;8;7;9;9;9;10;9;user6
CG9C;alpaca;8;5;10;7;2;1;9;8;3;1;user6
FB5P;stablelm;6;6;9;4;3;1;5;3;2;1;user6
FHWX;bard;9;9;10;9;4;7;9;9;6;6;user6
H45J;chatgpt-free;9;8;10;9;4;4;9;9;6;4;user6
HJYG;human;10;10;10;9;10;10;3;8;10;10;user6
L9PD;bing;8;9;9;6;8;7;8;7;8;7;user6
O58A;vicuna;10;9;9;9;5;6;6;5;7;6;user6
OHLS;koala;9;9;10;9;6;6;7;6;7;6;user6
Q1QX;dolly;8;7;7;5;9;6;5;4;7;5;user6
V455;oa;9;7;9;7;4;2;8;7;5;2;user6
2QCD;alpaca;5;5;8;3;3;2;3;3;2;2;user7
3AA0;bing;9;8;9;9;7;9;9;9;9;9;user7
8F6A;koala;4;4;8;3;4;1;5;4;5;0;user7
411E;chatgpt-gpt4;8;8;7;8;7;8;9;8;8;7;user7
CEU6;human;3;7;5;8;6;7;6;8;6;9;user7
DBV7;oa;5;4;8;3;3;2;8;6;5;4;user7
DTFW;vicuna;5;5;8;5;3;3;7;7;6;2;user7
DU0E;chatgpt-free;4;3;7;5;2;2;5;5;4;0;user7
KO23;bard;3;3;7;2;2;1;4;3;4;0;user7
P3Q3;stablelm;5;4;7;3;2;1;3;3;4;0;user7
QQWM;claude12;8;8;9;9;8;9;8;9;8;8;user7
U0OX;dolly;5;5;6;5;2;0;5;4;3;0;user7
Z08Z;gpt4all;5;4;5;5;3;0;5;4;1;0;user7
2QCD;alpaca;9;5;7;7;3;4;8;8;2;2;user8
3AA0;bing;9;9;8;9;8;8;6;9;9;8;user8
8F6A;koala;8;6;7;7;4;6;7;8;7;1;user8
411E;chatgpt-gpt4;8;9;7;8;9;9;9;9;8;7;user8
CEU6;human;8;9;7;7;9;7;6;6;9;5;user8
DBV7;oa;9;4;9;8;2;5;6;7;4;1;user8
DTFW;vicuna;9;5;8;8;4;7;8;8;7;2;user8
DU0E;chatgpt-free;8;4;8;9;3;7;8;8;6;2;user8
KO23;bard;8;5;8;7;3;6;6;6;6;1;user8
P3Q3;stablelm;4;3;3;3;3;2;4;4;2;1;user8
QQWM;claude12;7;7;8;8;7;8;8;8;7;6;user8
U0OX;dolly;2;2;3;2;3;3;3;4;1;2;user8
Z08Z;gpt4all;4;4;6;5;4;5;4;5;3;2;user8
1D8I;dolly;1;1;6;1;1;1;1;1;1;1;user9
3ENJ;claude12;9;9;9;8;7;9;2;5;9;7;user9
9PP9;oa;7;4;6;4;4;3;1;3;4;1;user9
9SDQ;bing;10;10;10;9;9;9;1;4;9;7;user9
91IV;vicuna;8;5;8;5;2;1;1;4;1;1;user9
143V;chatgpt-free;8;7;8;8;8;7;4;7;5;4;user9
EH60;bard;7;5;6;5;5;2;1;2;4;2;user9
F845;gpt4all;6;4;9;6;2;1;1;1;1;1;user9
KETI;stablelm;4;2;5;2;2;1;4;2;1;1;user9
S2BM;human;5;5;5;4;4;3;1;2;7;1;user9
SOH8;chatgpt-gpt4;10;9;9;9;8;9;5;8;9;8;user9
UAC2;koala;10;7;9;6;6;5;1;4;6;1;user9
V8DE;alpaca;1;2;5;4;1;1;1;1;1;1;user9
1D8I;dolly;5;5;10;3;2;1;6;6;1;1;user10
3ENJ;claude12;10;10;9;9;9;9;9;10;10;10;user10
9PP9;oa;8;6;10;7;5;2;7;8;2;2;user10
9SDQ;bing;7;7;10;8;7;6;8;8;9;8;user10
91IV;vicuna;8;5;10;7;5;3;7;7;3;1;user10
143V;chatgpt-free;7;7;10;7;5;2;8;8;1;1;user10
EH60;bard;5;5;7;7;6;2;6;6;3;2;user10
F845;gpt4all;5;5;10;7;5;1;6;6;1;1;user10
KETI;stablelm;3;3;5;3;3;1;4;4;1;1;user10
S2BM;human;10;10;9;8;10;10;8;7;10;10;user10
SOH8;chatgpt-gpt4;8;8;10;8;7;7;8;8;5;3;user10
UAC2;koala;7;7;10;7;6;1;7;7;2;1;user10
V8DE;alpaca;5;3;6;3;1;1;3;2;1;1;user10
