user_id,story_id,ranking_pos,ranking_value,ranking_value_norm
user1,7UKN_chatgpt-gpt4-mar23version-2023-04-14-1,1,76,1.0
user1,MSVY_human1-2023-05-12-1,2,55,0.6557377049180327
user1,5LQ9_vicuna-13b-2023-04-07-temp07-1,3,42,0.4426229508196721
user1,8X76_chatgpt-free-mar23version-2023-04-11-1,4,41,0.4262295081967213
user1,HBE3_claude12-2023-04-04-1,5,36,0.3442622950819672
user1,E12Z_bing-creative-2023-04-07-1,6,31,0.26229508196721313
user1,3V7S_stablelm-tuned-alpha-7b-2023-04-20-1,7,30,0.2459016393442623
user1,TRVC_dolly-v2-12b-2023-04-14-1,8,29,0.22950819672131148
user1,4GOW_gpt4all-j-2023-04-14-1,9,27,0.19672131147540983
user1,STXW_koala-13b-2023-04-07-temp07-1,10,21,0.09836065573770492
user1,EE4I_bard-2023-04-11-1,11,20,0.08196721311475409
user1,M8M5_OA_SFT_Llama_30B_6-1,11,20,0.08196721311475409
user1,9189_alpaca-13b-2023-04-07-temp07-1,12,15,0.0
user10,3ENJ_claude12-2023-04-04-5,1,95,1.0
user10,S2BM_human5-2023-05-12-5,2,92,0.9565217391304348
user10,9SDQ_bing-creative-2023-04-11-5,3,78,0.7536231884057971
user10,SOH8_chatgpt-gpt4-mar23version-2023-04-14-5,4,72,0.6666666666666666
user10,9PP9_OA_SFT_Llama_30B_6-5,5,57,0.4492753623188406
user10,143V_chatgpt-free-mar23version-2023-04-11-5,6,56,0.43478260869565216
user10,91IV_vicuna-13b-2023-04-07-temp07-5,6,56,0.43478260869565216
user10,UAC2_koala-13b-2023-04-07-temp07-5,7,55,0.42028985507246375
user10,EH60_bard-2023-04-11-5,8,49,0.3333333333333333
user10,F845_gpt4all-j-2023-04-14-5,9,47,0.30434782608695654
user10,1D8I_dolly-v2-12b-2023-04-14-5,10,40,0.2028985507246377
user10,KETI_stablelm-tuned-alpha-7b-2023-04-20-5,11,28,0.028985507246376812
user10,V8DE_alpaca-13b-2023-04-07-temp07-5,12,26,0.0
user2,7UKN_chatgpt-gpt4-mar23version-2023-04-14-1,1,95,1.0
user2,8X76_chatgpt-free-mar23version-2023-04-11-1,2,87,0.9024390243902439
user2,HBE3_claude12-2023-04-04-1,3,86,0.8902439024390244
user2,STXW_koala-13b-2023-04-07-temp07-1,4,84,0.8658536585365854
user2,E12Z_bing-creative-2023-04-07-1,5,70,0.6951219512195121
user2,MSVY_human1-2023-05-12-1,6,65,0.6341463414634146
user2,5LQ9_vicuna-13b-2023-04-07-temp07-1,7,61,0.5853658536585366
user2,4GOW_gpt4all-j-2023-04-14-1,8,56,0.524390243902439
user2,M8M5_OA_SFT_Llama_30B_6-1,9,55,0.5121951219512195
user2,TRVC_dolly-v2-12b-2023-04-14-1,10,46,0.4024390243902439
user2,3V7S_stablelm-tuned-alpha-7b-2023-04-20-1,11,42,0.35365853658536583
user2,EE4I_bard-2023-04-11-1,12,26,0.15853658536585366
user2,9189_alpaca-13b-2023-04-07-temp07-1,13,13,0.0
user3,U360_OA_SFT_Llama_30B_6-2,1,89,1.0
user3,7VXP_human2-2023-05-12-2,2,87,0.9642857142857143
user3,3LNP_vicuna-13b-2023-04-07-temp07-2,3,83,0.8928571428571429
user3,0BDQ_stablelm-tuned-alpha-7b-2023-04-20-2,4,81,0.8571428571428571
user3,XWOA_chatgpt-free-mar23version-2023-04-11-2,5,79,0.8214285714285714
user3,4OIE_bard-2023-04-11-2,6,78,0.8035714285714286
user3,KX0B_chatgpt-gpt4-mar23version-2023-04-14-2,7,77,0.7857142857142857
user3,4UK5_koala-13b-2023-04-07-temp07-2,8,76,0.7678571428571429
user3,HRLV_bing-creative-2023-04-11-2,9,75,0.75
user3,8Q1Q_claude12-2023-04-04-2,10,69,0.6428571428571429
user3,2RYL_gpt4all-j-2023-04-14-2,11,62,0.5178571428571429
user3,MSP3_alpaca-13b-2023-04-07-temp07-2,12,45,0.21428571428571427
user3,D9WZ_dolly-v2-12b-2023-04-14-2,13,33,0.0
user4,7VXP_human2-2023-05-12-2,1,78,1.0
user4,HRLV_bing-creative-2023-04-11-2,2,75,0.926829268292683
user4,4UK5_koala-13b-2023-04-07-temp07-2,3,74,0.9024390243902439
user4,KX0B_chatgpt-gpt4-mar23version-2023-04-14-2,4,72,0.8536585365853658
user4,8Q1Q_claude12-2023-04-04-2,5,67,0.7317073170731707
user4,XWOA_chatgpt-free-mar23version-2023-04-11-2,6,65,0.6829268292682927
user4,3LNP_vicuna-13b-2023-04-07-temp07-2,7,63,0.6341463414634146
user4,U360_OA_SFT_Llama_30B_6-2,8,62,0.6097560975609756
user4,4OIE_bard-2023-04-11-2,9,55,0.43902439024390244
user4,0BDQ_stablelm-tuned-alpha-7b-2023-04-20-2,10,53,0.3902439024390244
user4,2RYL_gpt4all-j-2023-04-14-2,11,50,0.3170731707317073
user4,D9WZ_dolly-v2-12b-2023-04-14-2,12,45,0.1951219512195122
user4,MSP3_alpaca-13b-2023-04-07-temp07-2,13,37,0.0
user5,2477_claude12-2023-04-04-3,1,78,1.0
user5,B2NX_chatgpt-gpt4-mar23version-2023-04-14-3,2,77,0.9821428571428571
user5,H45J_chatgpt-free-mar23version-2023-04-11-3,3,64,0.75
user5,V455_OA_SFT_Llama_30B_6-3,3,64,0.75
user5,8UJF_gpt4all-j-2023-04-14-3,4,63,0.7321428571428571
user5,OHLS_koala-13b-2023-04-07-temp07-3,5,61,0.6964285714285714
user5,O58A_vicuna-13b-2023-04-07-temp07-3,6,60,0.6785714285714286
user5,HJYG_human3-2023-05-12-3,7,59,0.6607142857142857
user5,FHWX_bard-2023-04-11-3,8,52,0.5357142857142857
user5,Q1QX_dolly-v2-12b-2023-04-14-3,9,48,0.4642857142857143
user5,L9PD_bing-creative-2023-04-11-3,10,41,0.3392857142857143
user5,FB5P_stablelm-tuned-alpha-7b-2023-04-20-3,11,28,0.10714285714285714
user5,CG9C_alpaca-13b-2023-04-07-temp07-3,12,22,0.0
user6,HJYG_human3-2023-05-12-3,1,90,1.0
user6,B2NX_chatgpt-gpt4-mar23version-2023-04-14-3,2,88,0.96
user6,2477_claude12-2023-04-04-3,3,81,0.82
user6,FHWX_bard-2023-04-11-3,4,78,0.76
user6,L9PD_bing-creative-2023-04-11-3,5,77,0.74
user6,OHLS_koala-13b-2023-04-07-temp07-3,6,75,0.7
user6,H45J_chatgpt-free-mar23version-2023-04-11-3,7,72,0.64
user6,O58A_vicuna-13b-2023-04-07-temp07-3,7,72,0.64
user6,Q1QX_dolly-v2-12b-2023-04-14-3,8,63,0.46
user6,V455_OA_SFT_Llama_30B_6-3,9,60,0.4
user6,8UJF_gpt4all-j-2023-04-14-3,10,57,0.34
user6,CG9C_alpaca-13b-2023-04-07-temp07-3,11,54,0.28
user6,FB5P_stablelm-tuned-alpha-7b-2023-04-20-3,12,40,0.0
user7,3AA0_bing-creative-2023-04-11-4,1,87,1.0
user7,QQWM_claude12-2023-04-04-4,2,84,0.9482758620689655
user7,411E_chatgpt-gpt4-mar23version-2023-04-14-4,3,78,0.8448275862068966
user7,CEU6_human4-2023-05-12-4,4,65,0.6206896551724138
user7,DTFW_vicuna-13b-2023-04-07-temp07-4,5,51,0.3793103448275862
user7,DBV7_OA_SFT_Llama_30B_6-4,6,48,0.3275862068965517
user7,8F6A_koala-13b-2023-04-07-temp07-4,7,38,0.15517241379310345
user7,DU0E_chatgpt-free-mar23version-2023-04-11-4,8,37,0.13793103448275862
user7,2QCD_alpaca-13b-2023-04-07-temp07-4,9,36,0.1206896551724138
user7,U0OX_dolly-v2-12b-2023-04-14-4,10,35,0.10344827586206896
user7,P3Q3_stablelm-tuned-alpha-7b-2023-04-20-4,11,32,0.05172413793103448
user7,Z08Z_gpt4all-j-2023-04-14-4,11,32,0.05172413793103448
user7,KO23_bard-2023-04-11-4,12,29,0.0
user8,3AA0_bing-creative-2023-04-11-4,1,83,1.0
user8,411E_chatgpt-gpt4-mar23version-2023-04-14-4,1,83,1.0
user8,QQWM_claude12-2023-04-04-4,2,74,0.8448275862068966
user8,CEU6_human4-2023-05-12-4,3,73,0.8275862068965517
user8,DTFW_vicuna-13b-2023-04-07-temp07-4,4,66,0.7068965517241379
user8,DU0E_chatgpt-free-mar23version-2023-04-11-4,5,63,0.6551724137931034
user8,8F6A_koala-13b-2023-04-07-temp07-4,6,61,0.6206896551724138
user8,KO23_bard-2023-04-11-4,7,56,0.5344827586206896
user8,2QCD_alpaca-13b-2023-04-07-temp07-4,8,55,0.5172413793103449
user8,DBV7_OA_SFT_Llama_30B_6-4,8,55,0.5172413793103449
user8,Z08Z_gpt4all-j-2023-04-14-4,9,42,0.29310344827586204
user8,P3Q3_stablelm-tuned-alpha-7b-2023-04-20-4,10,29,0.06896551724137931
user8,U0OX_dolly-v2-12b-2023-04-14-4,11,25,0.0
user9,SOH8_chatgpt-gpt4-mar23version-2023-04-14-5,1,84,1.0
user9,9SDQ_bing-creative-2023-04-11-5,2,78,0.9130434782608695
user9,3ENJ_claude12-2023-04-04-5,3,74,0.855072463768116
user9,143V_chatgpt-free-mar23version-2023-04-11-5,4,66,0.7391304347826086
user9,UAC2_koala-13b-2023-04-07-temp07-5,5,55,0.5797101449275363
user9,EH60_bard-2023-04-11-5,6,39,0.34782608695652173
user9,S2BM_human5-2023-05-12-5,7,37,0.3188405797101449
user9,9PP9_OA_SFT_Llama_30B_6-5,7,37,0.3188405797101449
user9,91IV_vicuna-13b-2023-04-07-temp07-5,8,36,0.30434782608695654
user9,F845_gpt4all-j-2023-04-14-5,9,32,0.2463768115942029
user9,KETI_stablelm-tuned-alpha-7b-2023-04-20-5,10,24,0.13043478260869565
user9,V8DE_alpaca-13b-2023-04-07-temp07-5,11,18,0.043478260869565216
user9,1D8I_dolly-v2-12b-2023-04-14-5,12,15,0.0
