worker_id,story_id,ranking_pos,ranking_value,ranking_value_norm
A03922113RU44GENR8ATX,2_Human,1,29,1.0
A03922113RU44GENR8ATX,8_Human,2,26,0.85
A03922113RU44GENR8ATX,29_Human,3,25,0.8
A03922113RU44GENR8ATX,39_Human,3,25,0.8
A03922113RU44GENR8ATX,66_Human,3,25,0.8
A03922113RU44GENR8ATX,73_Human,4,23,0.7
A03922113RU44GENR8ATX,366_GPT,5,22,0.65
A03922113RU44GENR8ATX,1030_TD-VAE,6,21,0.6
A03922113RU44GENR8ATX,477_GPT-2 (tag),7,20,0.55
A03922113RU44GENR8ATX,510_GPT-2,8,19,0.5
A03922113RU44GENR8ATX,421_GPT-2 (tag),8,19,0.5
A03922113RU44GENR8ATX,538_GPT-2,8,19,0.5
A03922113RU44GENR8ATX,454_GPT-2 (tag),9,18,0.45
A03922113RU44GENR8ATX,1009_TD-VAE,10,17,0.4
A03922113RU44GENR8ATX,555_GPT-2,11,16,0.35
A03922113RU44GENR8ATX,473_GPT-2 (tag),11,16,0.35
A03922113RU44GENR8ATX,429_GPT-2 (tag),11,16,0.35
A03922113RU44GENR8ATX,249_CTRL,11,16,0.35
A03922113RU44GENR8ATX,232_CTRL,11,16,0.35
A03922113RU44GENR8ATX,977_TD-VAE,11,16,0.35
A03922113RU44GENR8ATX,193_CTRL,12,15,0.3
A03922113RU44GENR8ATX,591_RoBERTa,13,14,0.25
A03922113RU44GENR8ATX,530_GPT-2,13,14,0.25
A03922113RU44GENR8ATX,827_Fusion,13,14,0.25
A03922113RU44GENR8ATX,359_GPT,14,13,0.2
A03922113RU44GENR8ATX,128_BertGeneration,14,13,0.2
A03922113RU44GENR8ATX,274_CTRL,14,13,0.2
A03922113RU44GENR8ATX,643_RoBERTa,14,13,0.2
A03922113RU44GENR8ATX,959_HINT,15,12,0.15
A03922113RU44GENR8ATX,749_XLNet,15,12,0.15
A03922113RU44GENR8ATX,524_GPT-2,15,12,0.15
A03922113RU44GENR8ATX,871_HINT,15,12,0.15
A03922113RU44GENR8ATX,462_GPT-2 (tag),16,10,0.05
A03922113RU44GENR8ATX,716_XLNet,16,10,0.05
A03922113RU44GENR8ATX,846_Fusion,17,9,0.0
A1IZ4NX41GKU4X,50_Human,1,28,1.0
