user_id,story_id,ranking_pos,ranking_value,ranking_value_norm
Expert0,10_NewYorker,1,13,1.0
Expert0,10_GPT4,2,9,0.6666666666666666
Expert0,10_Claude,3,6,0.4166666666666667
Expert0,10_GPT3.5,4,1,0.0
Expert1,0_NewYorker,1,14,1.0
Expert1,11_NewYorker,1,14,1.0
Expert1,7_NewYorker,1,14,1.0
Expert1,5_NewYorker,1,14,1.0
Expert1,7_Claude,2,9,0.6428571428571429
Expert1,5_GPT4,3,4,0.2857142857142857
Expert1,0_Claude,3,4,0.2857142857142857
Expert1,7_GPT4,3,4,0.2857142857142857
Expert1,11_Claude,4,3,0.21428571428571427
Expert1,5_GPT3.5,5,1,0.07142857142857142
Expert1,0_GPT4,5,1,0.07142857142857142
Expert1,11_GPT3.5,5,1,0.07142857142857142
Expert1,5_Claude,5,1,0.07142857142857142
Expert1,0_GPT3.5,6,0,0.0
Expert1,11_GPT4,6,0,0.0
Expert1,7_GPT3.5,6,0,0.0
Expert2,4_NewYorker,1,13,1.0
Expert2,4_Claude,2,8,0.5833333333333334
Expert2,4_GPT4,3,7,0.5
Expert2,4_GPT3.5,4,1,0.0
Expert3,11_NewYorker,1,14,1.0
Expert3,7_NewYorker,1,14,1.0
Expert3,5_NewYorker,1,14,1.0
Expert3,4_NewYorker,1,14,1.0
Expert3,6_NewYorker,1,14,1.0
Expert3,3_GPT4,2,11,0.7857142857142857
Expert3,4_GPT4,2,11,0.7857142857142857
Expert3,3_Claude,3,6,0.42857142857142855
Expert3,4_Claude,4,5,0.35714285714285715
Expert3,11_GPT4,5,4,0.2857142857142857
Expert3,3_NewYorker,5,4,0.2857142857142857
Expert3,11_Claude,6,3,0.21428571428571427
Expert3,5_Claude,6,3,0.21428571428571427
Expert3,11_GPT3.5,7,2,0.14285714285714285
Expert3,3_GPT3.5,7,2,0.14285714285714285
Expert3,5_GPT3.5,7,2,0.14285714285714285
Expert3,7_GPT4,8,1,0.07142857142857142
Expert3,5_GPT4,8,1,0.07142857142857142
Expert3,6_GPT4,8,1,0.07142857142857142
Expert3,6_Claude,8,1,0.07142857142857142
Expert3,4_GPT3.5,9,0,0.0
Expert3,6_GPT3.5,9,0,0.0
Expert3,7_GPT3.5,9,0,0.0
Expert3,7_Claude,9,0,0.0
Expert4,6_NewYorker,1,11,1.0
Expert4,1_Claude,2,9,0.75
Expert4,2_NewYorker,2,9,0.75
Expert4,8_NewYorker,3,8,0.625
Expert4,6_Claude,4,7,0.5
Expert4,8_Claude,4,7,0.5
Expert4,8_GPT3.5,4,7,0.5
Expert4,2_Claude,5,6,0.375
Expert4,6_GPT4,5,6,0.375
Expert4,6_GPT3.5,5,6,0.375
Expert4,1_NewYorker,6,5,0.25
Expert4,1_GPT4,7,4,0.125
Expert4,2_GPT4,7,4,0.125
Expert4,2_GPT3.5,7,4,0.125
Expert4,1_GPT3.5,7,4,0.125
Expert4,8_GPT4,8,3,0.0
Expert5,9_NewYorker,1,11,1.0
Expert5,9_Claude,2,2,0.0
Expert5,9_GPT3.5,2,2,0.0
Expert5,9_GPT4,2,2,0.0
Expert6,2_NewYorker,1,11,1.0
Expert6,8_NewYorker,2,10,0.9090909090909091
Expert6,2_GPT4,3,8,0.7272727272727273
Expert6,8_Claude,4,5,0.45454545454545453
Expert6,2_Claude,5,4,0.36363636363636365
Expert6,8_GPT4,6,2,0.18181818181818182
Expert6,2_GPT3.5,7,1,0.09090909090909091
Expert6,8_GPT3.5,8,0,0.0
Expert7,0_NewYorker,1,12,1.0
Expert7,0_GPT4,2,4,0.3333333333333333
Expert7,0_Claude,3,1,0.08333333333333333
Expert7,0_GPT3.5,4,0,0.0
Expert8,10_NewYorker,1,13,1.0
Expert8,1_NewYorker,2,12,0.9230769230769231
Expert8,2_NewYorker,3,11,0.8461538461538461
Expert8,10_GPT4,4,5,0.38461538461538464
Expert8,2_GPT4,5,2,0.15384615384615385
Expert8,10_Claude,6,1,0.07692307692307693
Expert8,2_Claude,6,1,0.07692307692307693
Expert8,10_GPT3.5,7,0,0.0
Expert8,1_GPT4,7,0,0.0
Expert8,1_GPT3.5,7,0,0.0
Expert8,1_Claude,7,0,0.0
Expert8,2_GPT3.5,7,0,0.0
Expert9,5_NewYorker,1,13,1.0
Expert9,9_NewYorker,1,13,1.0
Expert9,4_NewYorker,1,13,1.0
Expert9,11_NewYorker,1,13,1.0
Expert9,3_NewYorker,2,12,0.9230769230769231
Expert9,7_NewYorker,2,12,0.9230769230769231
Expert9,0_NewYorker,2,12,0.9230769230769231
Expert9,0_GPT4,3,11,0.8461538461538461
Expert9,8_Claude,4,10,0.7692307692307693
Expert9,7_Claude,5,9,0.6923076923076923
Expert9,1_NewYorker,5,9,0.6923076923076923
Expert9,11_GPT4,5,9,0.6923076923076923
Expert9,4_Claude,6,8,0.6153846153846154
Expert9,7_GPT4,7,7,0.5384615384615384
Expert9,5_Claude,7,7,0.5384615384615384
Expert9,9_Claude,7,7,0.5384615384615384
Expert9,4_GPT4,7,7,0.5384615384615384
Expert9,8_NewYorker,7,7,0.5384615384615384
Expert9,11_Claude,8,5,0.38461538461538464
Expert9,0_Claude,8,5,0.38461538461538464
