Dataset,User ID,AI Preferred,Human Preferred,ratio_ai
confederacy,user1,1,11,0.08333333333333333
confederacy,user10,1,11,0.08333333333333333
confederacy,user2,5,7,0.4166666666666667
confederacy,user3,1,11,0.08333333333333333
confederacy,user4,0,12,0.0
confederacy,user5,7,5,0.5833333333333334
confederacy,user6,0,12,0.0
confederacy,user7,3,9,0.25
confederacy,user8,3,9,0.25
confederacy,user9,6,5,0.5454545454545454
ttcw,Expert0,0,3,0.0
ttcw,Expert1,0,48,0.0
ttcw,Expert2,0,3,0.0
ttcw,Expert3,4,103,0.037383177570093455
ttcw,Expert4,8,39,0.1702127659574468
ttcw,Expert5,0,3,0.0
ttcw,Expert6,0,12,0.0
ttcw,Expert7,0,3,0.0
ttcw,Expert8,0,27,0.0
ttcw,Expert9,7,230,0.029535864978902954
ttcw,Expert10,0,48,0.0
slm,1d0gmfl,387,381,0.50390625
slm,1twytku,551,311,0.6392111368909513
slm,2cf5cxg,467,373,0.555952380952381
slm,2djomaf,472,362,0.565947242206235
slm,2iwgfra,522,330,0.6126760563380281
slm,5suhdrf,651,233,0.7364253393665159
slm,67x5igk,455,395,0.5352941176470588
slm,6eniugs,499,307,0.6191066997518611
slm,6s8iade,409,306,0.5720279720279721
slm,7dtqnsr,411,372,0.524904214559387
slm,7mfy2lf,335,462,0.4203262233375157
slm,8fwtdie,415,432,0.4899645808736718
slm,9tkaunh,727,150,0.8289623717217788
slm,abwgo45,563,289,0.6607981220657277
slm,apdsci2,640,198,0.7637231503579952
slm,c4q1ges,335,501,0.4007177033492823
slm,cazm5jo,397,463,0.46162790697674416
slm,cd6g3ph,457,383,0.544047619047619
slm,cwoulyg,594,273,0.6851211072664359
slm,cznvnoe,535,315,0.6294117647058823
slm,dlqbhrm,315,525,0.375
slm,dytaznn,527,315,0.6258907363420427
slm,ejc1jlo,463,396,0.5389988358556461
slm,eni2oiq,433,404,0.5173237753882916
slm,esqh283,507,303,0.6259259259259259
slm,gmjhsto,329,403,0.4494535519125683
slm,gyn2zh1,345,426,0.4474708171206226
slm,gzi8fy5,305,482,0.3875476493011436
slm,h7jplzv,423,432,0.49473684210526314
slm,hzlcy3u,440,379,0.5372405372405372
slm,i67o0as,534,285,0.652014652014652
slm,ifbhjlj,575,279,0.6733021077283372
slm,j1leiwz,515,324,0.6138259833134684
slm,jugdbuw,467,359,0.5653753026634383
slm,k7bci2w,632,225,0.7374562427071178
slm,koslf18,395,441,0.47248803827751196
slm,kzaejf6,417,402,0.5091575091575091
slm,mca2gjt,286,497,0.3652618135376756
slm,n8u3xou,534,318,0.6267605633802817
slm,o5yhwcy,510,353,0.5909617612977984
slm,oyq95gw,453,389,0.5380047505938242
slm,ozepl4x,409,414,0.49696233292831105
slm,pdkco3k,386,357,0.5195154777927322
slm,pqnsabu,610,250,0.7093023255813954
slm,qfd7slz,627,234,0.7282229965156795
slm,qoxrs6i,568,267,0.6802395209580838
slm,qpoeg1u,493,323,0.6041666666666666
slm,qvmrwst,570,293,0.660486674391657
slm,rc1emwh,449,373,0.5462287104622872
slm,sajqrbq,579,245,0.7026699029126213
slm,se4idw9,328,500,0.3961352657004831
slm,sim7edf,644,154,0.8070175438596491
slm,span9jo,178,676,0.20843091334894615
slm,tbgr6o9,355,424,0.4557124518613607
slm,tjrwtbg,630,209,0.7508939213349225
slm,tmks7eg,562,278,0.669047619047619
slm,u8ida5r,329,405,0.4482288828337875
slm,ugz5p3x,503,338,0.5980975029726516
slm,uiv1tou,443,386,0.53437876960193
slm,ujt0vaq,340,485,0.4121212121212121
slm,v45tutq,487,335,0.5924574209245742
slm,wd3j8qj,476,374,0.56
slm,wfb6qsu,725,129,0.8489461358313818
slm,ybep7ro,495,360,0.5789473684210527
slm,yjgobin,437,390,0.528415961305925
slm,ylheo47,675,175,0.7941176470588235
slm,yyecwzl,474,382,0.5537383177570093
slm,zvhb2sv,575,266,0.6837098692033293
pronvsprompt,Expert1,465,3003,0.13408304498269896
pronvsprompt,Expert2,509,2967,0.14643268124280784
pronvsprompt,Expert3,556,2870,0.16228838295388207
pronvsprompt,Expert4,25,3562,0.006969612489545581
pronvsprompt,Expert5,180,3370,0.05070422535211268
pronvsprompt,Expert6,965,2402,0.2866052866052866
hanna,A03922113RU44GENR8ATX,0,174,0.0
hanna,A1IZ4NX41GKU4X,18013,51943,0.257490422551318
hanna,A1V6CP5I0TOSAR,175,885,0.1650943396226415
hanna,A264NN7JBX4UDQ,1226,1856,0.3977936404931862
hanna,A2VE5IV9OD2SK1,515,60910,0.008384208384208384
hanna,A2WNW8A4MOR7T7,601,5418,0.09985047350058149
hanna,A3CFNUD7VR2E1E,2241,25390,0.08110455647642141
hanna,AE861G0AY5RGT,1,70,0.014084507042253521
hanna,AHV4U78TUUDKI,4,14,0.2222222222222222
hanna,AYJGQBBK6KXZ7,0,0,
poetry,R_02OuieTDzIB1LA5,25,0,1.0
poetry,R_033nCahcqekToEF,24,1,0.96
poetry,R_0Ce3lcCDqg6v2kV,22,3,0.88
poetry,R_0GIEmXuT0F8Du1z,25,0,1.0
poetry,R_0MxZwKNbrjCuDU5,22,3,0.88
poetry,R_0NET6a27b1iZOi5,15,10,0.6
poetry,R_0NefRX2X8vcv1FD,22,3,0.88
