Variable 1,Variable 2,Correlation
originality_analysis.log_likelihood,stylistic_analysis.linguistic_metrics.num_subordinate_clauses,0.8597229368219081
stylistic_analysis.rhetorical_devices.total_count,stylistic_analysis.rhetorical_devices.variety,0.8857480905776509
stylistic_analysis.linguistic_metrics.num_subordinate_clauses,stylistic_analysis.semantic_density.entropy,0.8264068496231826
stylistic_analysis.linguistic_metrics.dependency_variety,stylistic_analysis.semantic_density.entropy,0.8767444199314919
stylistic_analysis.linguistic_metrics.average_sentence_length,stylistic_analysis.sentence_rhythm.average_sentence_length,1.0
stylistic_analysis.sentence_rhythm.std_dev_sentence_length,stylistic_analysis.sentence_rhythm.average_change,0.936623522029455
stylistic_analysis.linguistic_metrics.average_sentence_length,readability_metrics.flesch_kincaid_grade,0.8292300206078351
stylistic_analysis.sentence_rhythm.average_sentence_length,readability_metrics.flesch_kincaid_grade,0.8292300206078351
readability_metrics.flesch_reading_ease,readability_metrics.flesch_kincaid_grade,0.9101148940960979
readability_metrics.flesch_reading_ease,readability_metrics.smog_index,0.8778870026629735
readability_metrics.flesch_kincaid_grade,readability_metrics.smog_index,0.8360278927773189
readability_metrics.flesch_reading_ease,readability_metrics.coleman_liau_index,0.8619863512315121
readability_metrics.smog_index,readability_metrics.coleman_liau_index,0.8123503524152104
stylistic_analysis.linguistic_metrics.average_sentence_length,readability_metrics.automated_readability_index,0.8155660469204656
stylistic_analysis.sentence_rhythm.average_sentence_length,readability_metrics.automated_readability_index,0.8155660469204656
readability_metrics.flesch_reading_ease,readability_metrics.automated_readability_index,0.877577220607823
readability_metrics.flesch_kincaid_grade,readability_metrics.automated_readability_index,0.9704114980482835
readability_metrics.smog_index,readability_metrics.automated_readability_index,0.8401848951274157
readability_metrics.coleman_liau_index,readability_metrics.automated_readability_index,0.8055867159937098
readability_metrics.coleman_liau_index,readability_metrics.dale_chall_readability_score,0.8869324739512963
originality_analysis.log_likelihood,readability_metrics.difficult_words,0.868017444767732
stylistic_analysis.linguistic_metrics.num_subordinate_clauses,readability_metrics.difficult_words,0.8200496721064578
stylistic_analysis.rhetorical_devices.total_count,readability_metrics.difficult_words,0.8352280298205844
stylistic_analysis.semantic_density.entropy,readability_metrics.difficult_words,0.8119442000428045
stylistic_analysis.linguistic_metrics.average_sentence_length,readability_metrics.gunning_fog,0.8487693326311253
stylistic_analysis.sentence_rhythm.average_sentence_length,readability_metrics.gunning_fog,0.8487693326311253
readability_metrics.flesch_reading_ease,readability_metrics.gunning_fog,0.8163668693566837
readability_metrics.flesch_kincaid_grade,readability_metrics.gunning_fog,0.9619043797806963
readability_metrics.smog_index,readability_metrics.gunning_fog,0.8055074856214409
readability_metrics.automated_readability_index,readability_metrics.gunning_fog,0.9491648672104759
