,Variance
coherence_analysis.local_coherence_embeddings,0.004783746645059462
coherence_analysis.entity_coherence,0.002602584671925434
coherence_analysis.overall_coherence,0.02023678718285734
coherence_analysis.best_num_topics,6.117788461538462
coherence_analysis.coherence_values.2,0.0015816677305264485
coherence_analysis.coherence_values.3,0.0013482424233198747
coherence_analysis.coherence_values.4,0.0013101079769592607
coherence_analysis.coherence_values.5,0.0013469255124553903
coherence_analysis.coherence_values.6,0.0014827058636577596
coherence_analysis.coherence_values.7,0.0018153720738762857
coherence_analysis.coherence_values.8,0.001686629072096934
coherence_analysis.coherence_values.9,0.0013555905675057967
coherence_analysis.coherence_values.10,0.001044455811754765
originality_analysis.semantic_distance,0.007165832670128696
originality_analysis.log_likelihood,27941664.368140064
stylistic_analysis.linguistic_metrics.lexical_diversity.TTR,0.008874835582478117
stylistic_analysis.linguistic_metrics.lexical_diversity.log_TTR,0.0005141537897720324
stylistic_analysis.linguistic_metrics.lexical_diversity.MTLD,5356270.998966948
stylistic_analysis.linguistic_metrics.average_sentence_length,22.659283727585585
stylistic_analysis.linguistic_metrics.num_subordinate_clauses,443.9384615384615
stylistic_analysis.linguistic_metrics.dependency_variety,21.59278846153846
stylistic_analysis.linguistic_metrics.sentence_complexity_index,0.1783082207897731
stylistic_analysis.linguistic_metrics.average_tree_depth,0.021647902870409127
stylistic_analysis.linguistic_metrics.max_subordination_depth,0.6538461538461539
stylistic_analysis.linguistic_metrics.average_subordination_depth,0.014119004755050488
stylistic_analysis.rhetorical_devices.counts.metaphors,2.884920634920635
stylistic_analysis.rhetorical_devices.counts.similes,1.2698412698412698
stylistic_analysis.rhetorical_devices.counts.alliteration,2.7180059523809526
stylistic_analysis.rhetorical_devices.counts.irony,0.40649801587301587
stylistic_analysis.rhetorical_devices.counts.personification,1.4898313492063493
stylistic_analysis.rhetorical_devices.counts.hyperbole,0.6287202380952381
stylistic_analysis.rhetorical_devices.counts.oxymoron,0.20535714285714285
stylistic_analysis.rhetorical_devices.counts.synesthesia,0.04538690476190476
stylistic_analysis.rhetorical_devices.counts.anaphora,0.14285714285714285
stylistic_analysis.rhetorical_devices.counts.onomatopoeia,1.1564980158730158
stylistic_analysis.rhetorical_devices.counts.paradox,0.04538690476190476
stylistic_analysis.rhetorical_devices.counts.rhetorical_questions,0.33903769841269843
stylistic_analysis.rhetorical_devices.counts.euphony,0.09895833333333333
stylistic_analysis.rhetorical_devices.counts.enumerations,0.6825396825396826
stylistic_analysis.rhetorical_devices.counts.allusions,0.5625
stylistic_analysis.rhetorical_devices.counts.sarcasm,0.2371031746031746
stylistic_analysis.rhetorical_devices.counts.symbolism,0.4818948412698413
stylistic_analysis.rhetorical_devices.counts.epiphora,0.015625
stylistic_analysis.rhetorical_devices.counts.paronomasia,0.20014880952380953
stylistic_analysis.rhetorical_devices.total_count,52.85961538461539
stylistic_analysis.rhetorical_devices.variety,9.20096153846154
stylistic_analysis.semantic_density.cosine_similarity,4.338797306701123e-05
stylistic_analysis.semantic_density.entropy,0.20548116151008874
stylistic_analysis.sentence_rhythm.average_sentence_length,22.659283727585585
stylistic_analysis.sentence_rhythm.std_dev_sentence_length,10.987962205122434
stylistic_analysis.sentence_rhythm.average_change,18.428151723316585
stylistic_analysis.sentence_rhythm.coefficient_of_variation,0.023698634143496284
sentiment_analysis.average_sentiment,0.17083690929543294
sentiment_analysis.variance_sentiment,0.08404993058490082
sentiment_analysis.average_entropy,0.00017934182882476326
sentiment_analysis.average_max_confidence,3.669619630017822e-05
sentiment_analysis.average_valence_intensity,0.00014678479364175017
sentiment_analysis.sentiment_distribution_positive,0.04336478357935147
sentiment_analysis.sentiment_distribution_negative,0.04336478357935146
sentiment_analysis.sentiment_trend,0.009550774289254872
sentiment_analysis.sentiment_volatility,0.13978445477723053
sentiment_analysis.emotional_richness,0.23560635792778648
sentiment_analysis.temporal_dynamics,0.006551703249196056
sentiment_analysis.emotional_complexity,0.0018458515595404746
sentiment_analysis.emotional_volatility,0.022448397265172417
sentiment_analysis.emotional_persistence,0.022448397265172424
sentiment_analysis.emotional_oscillation,0.00024280376869163643
thematic_analysis.entropy_score,0.056841969232986594
thematic_analysis.inter_theme_similarity,0.03349825835654347
thematic_analysis.graph_density,0.09511950226436318
thematic_analysis.graph_modularity,0.004853256412465814
readability_metrics.flesch_reading_ease,56.87341716346153
readability_metrics.flesch_kincaid_grade,3.887836538461538
readability_metrics.smog_index,1.6784759615384615
readability_metrics.coleman_liau_index,3.283228028846154
readability_metrics.automated_readability_index,7.780350961538462
readability_metrics.dale_chall_readability_score,1.1721819711538464
readability_metrics.difficult_words,1587.8783653846153
readability_metrics.linsear_write_formula,8.222100381623445
readability_metrics.gunning_fog,4.390164278846154
readability_metrics.text_standard,2.960096153846154
stylistic_analysis.rhetorical_devices.counts.allegory,0.0
