Variable 1,Variable 2,Correlation
originality_analysis.log_likelihood,stylistic_analysis.linguistic_metrics.num_subordinate_clauses,0.841794956296029
stylistic_analysis.rhetorical_devices.total_count,stylistic_analysis.rhetorical_devices.variety,0.8457172992350775
stylistic_analysis.linguistic_metrics.dependency_variety,stylistic_analysis.semantic_density.entropy,0.9060983265319132
stylistic_analysis.linguistic_metrics.average_sentence_length,stylistic_analysis.sentence_rhythm.average_sentence_length,1.0
stylistic_analysis.sentence_rhythm.std_dev_sentence_length,stylistic_analysis.sentence_rhythm.average_change,0.8643605829277171
readability_metrics.flesch_reading_ease,readability_metrics.flesch_kincaid_grade,0.922755504919202
readability_metrics.flesch_reading_ease,readability_metrics.automated_readability_index,0.8734122252959378
readability_metrics.flesch_kincaid_grade,readability_metrics.automated_readability_index,0.9287612633992154
readability_metrics.flesch_reading_ease,readability_metrics.gunning_fog,0.8358210110682238
readability_metrics.flesch_kincaid_grade,readability_metrics.gunning_fog,0.9734115196887108
readability_metrics.automated_readability_index,readability_metrics.gunning_fog,0.9162148684905749
