,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16
story_idx,-0.12169801293490753,0.213323353059406,-0.11212259081370342,-0.11435647806614686,0.2618229596755182,-0.3232167210680134,0.22734842898280727,0.05912758820444374,0.6916983785800799,0.10535967715251696,-0.32916237249414876,0.26503281126503964,0.06554515425472346,-0.04487297718646816,0.016536411982563597,-0.02941627471788256
coherence_analysis.best_num_topics,-0.05543849464941952,0.06640087507436099,0.09941713787971025,0.23519135695947527,-0.046128920580122336,0.6377722273188337,-0.31764963196278717,0.5180701156727158,0.3694350110466842,-0.0035749050624176854,-0.07785773829294998,-0.006473777274611847,-0.007183213803480477,-0.0243629960784117,-0.04194588367681781,0.04433231066671507
originality_analysis.log_likelihood,0.23810928464058184,-0.28322466289398773,0.2456153601725635,-0.28894641048987874,0.007425787140281459,-0.034061604751218014,-0.07217073654683365,0.03300012223113791,0.16893050328757875,-0.007425731238674223,-0.011554860648979853,-0.2576014098192412,-0.1461283217772603,-0.3606595764389136,-0.007052537173688773,-0.09074250341695825
stylistic_analysis.linguistic_metrics.lexical_diversity.MTLD,-0.0004977066088473933,-0.010609385020556568,0.16390798765306974,-0.06352942755518232,-0.03207455491341822,0.5930725377574129,0.6593653252059379,-0.40680966627228027,0.10560999263967952,-0.031175993195537547,-0.015208689237931793,0.037276915477994034,-0.007394706901196938,-0.010739084315566758,0.010109970150863635,-0.009686314965546998
stylistic_analysis.linguistic_metrics.average_sentence_length,0.25856222349172636,0.3536842168612367,0.1476068430949908,-0.013799480554786926,-0.07236801259910686,-0.021638494057320493,0.01863895811175661,0.029412460044764832,-0.08806777614522714,0.10307705352070985,-0.0595312193282061,-0.06716478594770563,0.1902627868881629,-0.20107844784614604,0.10637782567077204,0.10813983379155491
stylistic_analysis.linguistic_metrics.dependency_variety,0.28537960436618326,-0.252198518954388,0.06234516648877109,0.15070098942812693,-0.013417608861245916,-0.08369342230344018,-0.015948373031495308,-0.07562250337870391,0.08575932610567606,-0.09689473565737529,-0.0996239197597692,-0.06845746573461153,-0.14685895671361598,-0.1265849303340336,0.05365168579806856,0.19211412009419437
stylistic_analysis.linguistic_metrics.sentence_complexity_index,0.2051569505645607,0.282836587944881,0.2795286592288445,0.11051844492511331,-0.22443663985719764,-0.11542762930392224,0.19731670659963668,0.2525958068167249,-0.11298851677395017,0.10482530142322274,0.020671240463083478,0.01785285583701405,0.30897246383718696,-0.14882576896847108,0.44097579841710005,-0.05706516174803885
stylistic_analysis.linguistic_metrics.average_tree_depth,0.14612555188465606,0.31823554334932175,0.2568516696663883,-0.01732195385871804,0.06918066390384327,0.06196363684695162,-0.3818156758798928,-0.4357951867861149,0.18360123920240973,0.029114672764354265,0.14886683286338728,-0.0011116355738912185,0.007290099364051566,0.08706935083066605,0.1903029368786235,-0.13137463781256434
stylistic_analysis.linguistic_metrics.max_subordination_depth,0.2053825352668941,-0.05535565875061105,0.24684073843073037,0.1926065302503607,-0.21182310275606894,-0.20431017194988804,0.23438745130041175,0.226662190368747,0.1693536942211718,-0.1494436293755771,0.48318218783457095,0.40047788604433465,-0.37201813453439725,0.09244169259111439,-0.11381942771021356,-0.05516242145508956
stylistic_analysis.rhetorical_devices.total_count,0.13176214481597925,-0.2624433449381074,0.19794380036263445,-0.3711940071480335,0.09834423877364218,0.14012595738931008,-0.14960207761648617,0.06434004843808833,-0.20462945593040033,0.479069269358403,-0.06838816543620864,0.5962482414187433,0.14064409332088407,0.08564360569410798,-0.0803079710140221,0.025118629370516413
stylistic_analysis.sentence_rhythm.std_dev_sentence_length,0.21269461749087798,0.3354405276141295,0.19414862003310834,-0.043999807751296145,-0.04751286272192473,-0.0312973333131525,-0.23005123722618778,-0.27876692926782337,0.11602423760013884,0.009512479206869552,-0.013585478519229385,-0.00756919719496586,-0.1849223740639086,0.16748103040747453,-0.405901459314596,0.19031059045684323
