,Variance
story_idx,837144.0
coherence_analysis.local_coherence_embeddings,0.010824904001449672
coherence_analysis.entity_coherence,0.03859976009640072
coherence_analysis.overall_coherence,0.033750409919829256
coherence_analysis.best_num_topics,8.972424780985207
coherence_analysis.coherence_values.2,0.004415359945904984
coherence_analysis.coherence_values.3,0.0041762530402921876
coherence_analysis.coherence_values.4,0.004057602882825178
coherence_analysis.coherence_values.5,0.0038920297745177485
coherence_analysis.coherence_values.6,0.004125556365928929
coherence_analysis.coherence_values.7,0.003930539676738395
coherence_analysis.coherence_values.8,0.003811053662731792
coherence_analysis.coherence_values.9,0.003628971985444609
coherence_analysis.coherence_values.10,0.003536588525282899
originality_analysis.semantic_distance,0.004072096856783133
originality_analysis.log_likelihood,4003221.0908600776
stylistic_analysis.linguistic_metrics.lexical_diversity.TTR,0.011290368899849697
stylistic_analysis.linguistic_metrics.lexical_diversity.log_TTR,0.003547680423485573
stylistic_analysis.linguistic_metrics.lexical_diversity.MTLD,6746984.037820424
stylistic_analysis.linguistic_metrics.average_sentence_length,24.21089252786135
stylistic_analysis.linguistic_metrics.num_subordinate_clauses,254.31531577624588
stylistic_analysis.linguistic_metrics.dependency_variety,34.65462803389344
stylistic_analysis.linguistic_metrics.sentence_complexity_index,0.4209597508342263
stylistic_analysis.linguistic_metrics.average_tree_depth,0.17326927544217607
stylistic_analysis.linguistic_metrics.max_subordination_depth,0.8125807841447652
stylistic_analysis.linguistic_metrics.average_subordination_depth,0.04131333204619616
stylistic_analysis.rhetorical_devices.counts.metaphors,1.6734420356729365
stylistic_analysis.rhetorical_devices.counts.similes,0.5074752084836485
stylistic_analysis.rhetorical_devices.counts.alliteration,1.3028298404282095
stylistic_analysis.rhetorical_devices.counts.irony,0.3954309780693659
stylistic_analysis.rhetorical_devices.counts.personification,1.005264526737923
stylistic_analysis.rhetorical_devices.counts.hyperbole,0.42325536520294643
stylistic_analysis.rhetorical_devices.counts.oxymoron,0.09402109166568784
stylistic_analysis.rhetorical_devices.counts.synesthesia,0.062045908351091514
stylistic_analysis.rhetorical_devices.counts.anaphora,1.598480208735339
stylistic_analysis.rhetorical_devices.counts.onomatopoeia,0.17457883786096615
stylistic_analysis.rhetorical_devices.counts.paradox,0.14456054834974913
stylistic_analysis.rhetorical_devices.counts.rhetorical_questions,4.762555162172592
stylistic_analysis.rhetorical_devices.counts.euphony,0.019088628622246084
stylistic_analysis.rhetorical_devices.counts.enumerations,0.39953143614611475
stylistic_analysis.rhetorical_devices.counts.allusions,0.5937631088813196
stylistic_analysis.rhetorical_devices.counts.sarcasm,0.18470099166065407
stylistic_analysis.rhetorical_devices.counts.symbolism,0.40776381361477926
stylistic_analysis.rhetorical_devices.counts.epiphora,0.5858579290903904
stylistic_analysis.rhetorical_devices.counts.paronomasia,0.010141030588788022
stylistic_analysis.rhetorical_devices.total_count,29.084833225621143
stylistic_analysis.rhetorical_devices.variety,10.043242855091195
stylistic_analysis.semantic_density.cosine_similarity,0.00024765134853869
stylistic_analysis.semantic_density.entropy,0.39027577754767273
stylistic_analysis.sentence_rhythm.average_sentence_length,24.21089252786135
stylistic_analysis.sentence_rhythm.std_dev_sentence_length,25.866013433317587
stylistic_analysis.sentence_rhythm.average_change,15.88370436799654
stylistic_analysis.sentence_rhythm.coefficient_of_variation,0.03035363742389108
sentiment_analysis.average_sentiment,0.1590044174583028
sentiment_analysis.variance_sentiment,0.05305644794358083
sentiment_analysis.average_entropy,0.00047243964861438237
sentiment_analysis.average_max_confidence,9.00162991387322e-05
sentiment_analysis.average_valence_intensity,0.0003600651902744
sentiment_analysis.sentiment_distribution_positive,0.040653163614390246
sentiment_analysis.sentiment_distribution_negative,0.04065316361439025
sentiment_analysis.sentiment_trend,0.01687702268410548
sentiment_analysis.sentiment_volatility,0.1152425901431913
sentiment_analysis.emotional_richness,0.15649304853350215
sentiment_analysis.temporal_dynamics,0.016220511061633695
sentiment_analysis.emotional_complexity,0.002161839089762881
sentiment_analysis.emotional_volatility,0.05510559350454255
sentiment_analysis.emotional_persistence,0.05510559350454254
sentiment_analysis.emotional_oscillation,0.004239517496625838
thematic_analysis.entropy_score,0.06892401624470704
thematic_analysis.inter_theme_similarity,0.04246631799795384
thematic_analysis.graph_density,0.0272590085676872
thematic_analysis.graph_modularity,0.002938176245161801
readability_metrics.flesch_reading_ease,95.6349435803533
readability_metrics.flesch_kincaid_grade,7.527905204294128
readability_metrics.smog_index,2.5905480037340225
readability_metrics.coleman_liau_index,6.528280967165733
readability_metrics.automated_readability_index,13.264657439322129
readability_metrics.dale_chall_readability_score,3.149193030931351
readability_metrics.difficult_words,300.1424089831969
readability_metrics.linsear_write_formula,11.182238405895696
readability_metrics.gunning_fog,7.168367130457418
readability_metrics.text_standard,4.441942230360477
stylistic_analysis.rhetorical_devices.counts.allegory,0.0
