Variable 1,Variable 2,Correlation
stylistic_analysis.linguistic_metrics.average_sentence_length,stylistic_analysis.linguistic_metrics.sentence_complexity_index,0.8241292897313005
stylistic_analysis.linguistic_metrics.average_sentence_length,stylistic_analysis.sentence_rhythm.average_sentence_length,1.0
stylistic_analysis.linguistic_metrics.sentence_complexity_index,stylistic_analysis.sentence_rhythm.average_sentence_length,0.8241292897313005
stylistic_analysis.sentence_rhythm.std_dev_sentence_length,stylistic_analysis.sentence_rhythm.average_change,0.8377605014587278
sentiment_analysis.average_sentiment,sentiment_analysis.sentiment_volatility,0.8331273558172192
readability_metrics.flesch_reading_ease,readability_metrics.flesch_kincaid_grade,0.9379391054074816
readability_metrics.flesch_reading_ease,readability_metrics.smog_index,0.9374931758397733
readability_metrics.flesch_kincaid_grade,readability_metrics.smog_index,0.8891221044137828
stylistic_analysis.linguistic_metrics.average_sentence_length,readability_metrics.automated_readability_index,0.8094303786857224
stylistic_analysis.sentence_rhythm.average_sentence_length,readability_metrics.automated_readability_index,0.8094303786857224
readability_metrics.flesch_reading_ease,readability_metrics.automated_readability_index,0.8989655154646721
readability_metrics.flesch_kincaid_grade,readability_metrics.automated_readability_index,0.989464692146877
readability_metrics.smog_index,readability_metrics.automated_readability_index,0.8668503476492081
originality_analysis.log_likelihood,readability_metrics.difficult_words,0.8245487505130455
readability_metrics.flesch_reading_ease,readability_metrics.gunning_fog,0.9039664745713865
readability_metrics.flesch_kincaid_grade,readability_metrics.gunning_fog,0.9849648408369472
readability_metrics.smog_index,readability_metrics.gunning_fog,0.9020020431899197
readability_metrics.automated_readability_index,readability_metrics.gunning_fog,0.9848028562727891
