,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
story_idx,0.03099645603385984,0.03338220908907796,0.07316103860738807,-0.04145111838794004,-0.32607463664896436,0.41356865353940614,-0.0569000394748213,0.3601027063928256,0.3092282664993372,-0.20203620107354414,0.24551756425151608,0.11617688676899446,-0.12869900456547295,0.1259116024433461,-0.15652328842060423,-0.1717790196377603,0.10903761698149564,-0.21978598840343583,-0.11337892238351632,-0.2854043502343168,0.04822849297897846,0.09569930389835814,0.10249442547526715,-2.0166753677549504e-05,0.058193603099726654
coherence_analysis.best_num_topics,-0.008178990657283839,0.004628445750667428,0.041340001285656416,-0.24380308802801434,0.12803791302213527,0.23645529271326512,-0.1223905968590983,0.11728677590001954,0.44480079996009786,0.5970013993324867,0.03638542547304868,0.1458192010902472,0.08088381246768775,0.07258950149665347,0.17084205215070403,-0.01091676884782326,-0.337914808385812,0.16524989728170283,0.01911239216627138,0.03810474071203254,0.12616870072837993,-0.07588930916809933,0.06860319901444335,0.07079360464508976,-0.033714534253337904
originality_analysis.log_likelihood,0.2613284124277466,0.07442036070268311,0.20352293970316762,-0.09215687496805386,0.1676038552290906,-0.08837745780393844,-0.09490216936058823,0.10888455334488305,0.11808182507775318,-0.01986647166394037,0.034884950512370186,-0.057272518388353795,0.17294788942222622,0.07504678323816295,-0.16106592214373727,-0.17125446243485276,0.31389418920521484,-0.05715192300991819,0.20458997569120135,0.1495073211241282,0.015755590287829465,0.04529701748318353,-0.01385938729087281,-0.2278217851406333,-0.026122753851037066
stylistic_analysis.linguistic_metrics.lexical_diversity.MTLD,-0.10066924798338663,-0.018913386384691772,0.05104937366668723,-0.05418353026628666,-0.28392255055199367,-0.35495833759528544,0.46688889850537935,0.11009421891694786,0.21892136174491103,-0.03521399392964251,-0.06251525151689401,0.027434607674772706,0.005409752345355457,0.2606342767354866,-0.08230694204303766,0.42239295045941905,-0.2677656173610426,-0.011884111504014938,-0.08333592538524469,-0.008230590709070933,0.10706132358850129,0.032400660272590476,-0.025771755629964845,-0.1365130710152626,-0.016878083665244212
stylistic_analysis.linguistic_metrics.average_sentence_length,-0.20732828000751197,-0.2551670269478253,0.17335339976761588,-0.05161872007229453,0.06827788291644041,0.1244210803522447,0.04072110456425188,0.05242581741901838,-0.06426405886505558,0.07739308963474291,-0.01673369013326183,-0.14538620448970613,-0.0957480039469608,-0.1947272607877869,0.10838601302097069,0.17685675705359402,0.04978182529429386,-0.172005461277544,-0.035834298145914004,-0.15454943251225078,0.22693419285036825,-0.13448648186384832,-0.16685877122651227,0.09024855804646763,-0.13174066137443308
stylistic_analysis.linguistic_metrics.num_subordinate_clauses,0.05959086347862896,0.18492245787621697,0.28103707250289156,-0.15512164380170954,0.39067650571199725,-0.016289065782734855,0.14404874809501497,-0.0011011658224503158,0.15475108846513674,-0.003699855908762624,0.12869198736444043,-0.03854010086992038,0.09175408070158918,-0.05792693005092607,-0.1594595239650085,-0.0017080922197270506,0.17585841973898386,0.05700581976175262,-0.12501359132730447,0.06845583934291477,0.14903151876659182,-0.16755949324419825,-0.06507780676991973,-0.27592237744596954,-0.058145981459646
stylistic_analysis.linguistic_metrics.dependency_variety,0.004233231792479634,0.22355846216133338,0.25054352280610853,-0.031114551304778946,0.17684572117235597,-0.14800544420404327,0.06857962315234788,0.23984616351440177,-0.14041184550605715,0.03120590081732886,-0.30472387889950886,-0.14535204825611656,0.017141415305820168,0.007388680484412448,-0.30937158069085036,0.039398420753099066,-0.20595299495905922,-0.19998177752080148,0.14343873061925502,-0.06687874443889437,0.2136534002101339,0.03964649652128176,0.33959055611584926,0.15273965021773825,0.1648860755578615
stylistic_analysis.linguistic_metrics.average_tree_depth,0.09287974195884417,-0.31736948606248655,0.03813434001860794,0.03188423233640432,0.13086742834661405,0.10031892407962918,-0.05507887377300295,-0.08634411055941991,-0.12495293239126054,-0.1127862451429979,0.1466227243355075,0.2067081822768376,-0.036884638162255436,0.042394061263337834,-0.09979518845065644,0.1371660029304274,-0.07712269875350988,0.4237831793280508,0.09311965855394652,0.02914860098302306,0.34090680827317543,0.16427444649423653,-0.07077071553751678,-0.23234373972252906,0.4657388280366525
stylistic_analysis.linguistic_metrics.max_subordination_depth,-0.06564961971673298,0.07113352229995058,0.1531477461585887,-0.15695293638413818,0.30973104111196603,-0.19641467209842092,0.2687370210364184,-0.12860615667957115,0.18340947384004497,-0.16939774986258008,0.4467805613802347,0.23777283494385756,-0.2283995028829311,-0.21496412770365994,0.17011178161657944,0.04441135896933205,0.005854368630054854,-0.17845799401703882,-0.001707565855973035,0.08127476804260518,-0.2221971306314596,0.11358046126843328,0.02178807506840768,0.27660568027898597,0.1038919351620576
stylistic_analysis.rhetorical_devices.counts.metaphors,0.3081575407943522,-0.042172521493153516,0.018629166711807442,-0.004990798017263648,-0.023116358518379707,-0.1544843851933708,-0.08984793542899054,-0.02062020216617961,0.02849725646416303,-0.004533636065874687,0.016202593328337605,-0.12106109266351561,0.2158280537609924,-0.13997124381288617,0.23575333568417278,-0.015407978601577312,-0.085353056277168,-0.06169916042066613,0.028687235009963136,0.008851762501120035,0.21746585274752295,0.015072995954169704,-0.16173907279131758,0.0876664813410591,-0.35249305044456997
