Variable 1,Variable 2,Correlation
originality_analysis.log_likelihood,stylistic_analysis.linguistic_metrics.num_subordinate_clauses,0.8085020421006127
stylistic_analysis.linguistic_metrics.max_subordination_depth,stylistic_analysis.linguistic_metrics.average_subordination_depth,0.8648176292589104
stylistic_analysis.rhetorical_devices.total_count,stylistic_analysis.rhetorical_devices.variety,0.9488524118741323
originality_analysis.log_likelihood,stylistic_analysis.semantic_density.entropy,0.8597809058474767
stylistic_analysis.linguistic_metrics.dependency_variety,stylistic_analysis.semantic_density.entropy,0.8650131188489242
stylistic_analysis.linguistic_metrics.average_sentence_length,stylistic_analysis.sentence_rhythm.average_sentence_length,1.0
stylistic_analysis.sentence_rhythm.std_dev_sentence_length,stylistic_analysis.sentence_rhythm.average_change,0.9668097401517395
stylistic_analysis.linguistic_metrics.average_sentence_length,readability_metrics.flesch_kincaid_grade,0.8109539795805017
stylistic_analysis.sentence_rhythm.average_sentence_length,readability_metrics.flesch_kincaid_grade,0.8109539795805017
readability_metrics.flesch_reading_ease,readability_metrics.flesch_kincaid_grade,0.8197576691551819
readability_metrics.flesch_kincaid_grade,readability_metrics.automated_readability_index,0.9451460982166913
stylistic_analysis.linguistic_metrics.average_sentence_length,readability_metrics.linsear_write_formula,0.8730264384413986
stylistic_analysis.sentence_rhythm.average_sentence_length,readability_metrics.linsear_write_formula,0.8730264384413986
readability_metrics.flesch_kincaid_grade,readability_metrics.linsear_write_formula,0.9108547736545024
readability_metrics.automated_readability_index,readability_metrics.linsear_write_formula,0.8422174098207718
stylistic_analysis.linguistic_metrics.average_sentence_length,readability_metrics.gunning_fog,0.8086904502283794
stylistic_analysis.sentence_rhythm.average_sentence_length,readability_metrics.gunning_fog,0.8086904502283794
readability_metrics.flesch_kincaid_grade,readability_metrics.gunning_fog,0.9315603636764443
readability_metrics.automated_readability_index,readability_metrics.gunning_fog,0.8728691409560194
readability_metrics.linsear_write_formula,readability_metrics.gunning_fog,0.9223265735708295
