stylistic_analysis.sentence_rhythm.average_change,stylistic_analysis.linguistic_metrics.average_subordination_depth,readability_metrics.automated_readability_index,stylistic_analysis.sentence_rhythm.average_sentence_length,readability_metrics.flesch_kincaid_grade,stylistic_analysis.rhetorical_devices.variety,stylistic_analysis.linguistic_metrics.num_subordinate_clauses,readability_metrics.gunning_fog,readability_metrics.linsear_write_formula,stylistic_analysis.semantic_density.entropy
20.0,0.0,7.9,29.0,4.4,0,0,7.27,5.625,3.603049664843597
10.5,1.1111111111111112,10.8,37.0,8.5,2,9,9.82,11.5,4.06620349026716
10.0,1.0,10.1,25.666666666666668,7.7,0,3,8.78,11.5,3.803848865673362
8.9,1.55,10.9,24.09090909090909,7.4,6,20,10.46,8.5,4.793377817470856
12.5,1.6,10.9,22.333333333333332,7.2,3,5,9.71,10.833333333333334,3.8149828925039615
20.0,1.5,12.6,25.0,8.9,2,2,13.08,12.75,3.5445117787628577
6.833333333333333,1.0,8.1,18.0,5.5,1,4,8.49,5.777777777777778,4.219326964107932
58.0,1.3,18.7,46.0,13.8,1,10,16.8,21.0,3.8942915872983748
13.0,1.5555555555555556,14.5,30.666666666666668,10.2,1,9,13.68,15.333333333333334,3.941930269192402
1.75,1.0,7.1,16.0,5.7,2,3,7.62,6.0,3.957308380851516
15.5,1.0,8.9,21.666666666666668,5.9,1,2,7.48,8.333333333333334,3.774523232139208
26.0,1.0,14.3,28.0,11.3,1,2,11.95,13.75,3.732165102891344
7.333333333333333,1.35,7.0,21.7,5.4,1,20,8.87,8.5,4.528612809747268
12.0,1.0,14.0,25.0,10.5,1,1,9.53,12.25,3.445098557399375
3.5,1.25,9.8,22.666666666666668,6.4,0,4,10.0,11.0,3.7753854880366067
11.0,1.3333333333333333,14.1,24.5,11.3,1,3,16.0,14.25,3.4979375713266525
16.0,1.0833333333333333,15.6,37.2,12.4,5,12,13.95,13.5,4.298127857655179
2.0,1.3333333333333333,5.8,20.0,4.3,0,3,5.82,5.333333333333333,3.5065025850605602
1.0,1.0,13.1,25.5,10.1,4,3,11.13,12.25,3.565561686503232
7.0,1.0,10.5,22.0,8.3,3,2,9.0,11.0,3.821426741387817
5.333333333333333,1.5,5.7,13.5,4.5,2,4,7.37,6.125,3.7396831562868718
3.0,1.25,9.5,20.25,7.8,1,4,8.14,9.0,3.7691703814375
3.6666666666666665,1.1428571428571428,9.5,21.5,6.8,2,7,7.76,8.25,4.084125235527183
10.666666666666666,1.3333333333333333,10.3,15.75,7.3,0,3,9.79,10.666666666666666,3.75558044811594
21.5,1.3333333333333333,17.5,33.333333333333336,12.2,1,9,13.44,16.166666666666668,3.9638181944171706
4.571428571428571,1.1111111111111112,8.3,20.625,6.6,1,9,9.03,8.0,4.474227766448366
8.0,1.5,14.6,30.0,10.3,0,8,10.8,14.0,3.7545377628558914
17.0,1.3333333333333333,11.3,25.333333333333332,9.5,3,6,10.62,12.666666666666666,3.8638802930758707
22.0,1.0,9.5,21.666666666666668,7.2,2,4,9.0,10.166666666666666,3.8636247999116766
29.666666666666668,1.5,14.5,20.25,12.3,2,6,13.84,14.5,3.9930118330981488
16.5,1.375,15.9,31.333333333333332,12.0,1,8,14.33,16.0,3.9990758397682544
2.0,1.6666666666666667,11.9,24.0,8.3,2,6,9.71,12.0,3.5636428037400987
18.0,1.1666666666666667,6.3,30.0,5.2,4,6,7.58,8.166666666666666,3.5681967143258317
33.0,1.0,17.1,35.5,13.4,0,1,15.3,18.0,3.592834591808252
9.428571428571429,1.391304347826087,8.9,21.5,7.2,5,23,8.69,8.0,4.304705061491167
9.5,1.3333333333333333,12.3,21.666666666666668,7.2,3,3,9.73,8.333333333333334,3.68701321277281
8.0,1.4,14.9,34.0,12.0,1,5,14.5,17.75,3.8090539810579767
8.5,0.0,8.4,18.333333333333332,6.9,2,0,11.34,10.166666666666666,3.683099712975856
5.0,1.0,16.8,31.5,14.0,2,3,14.64,16.75,3.7866631638417765
18.0,1.5,12.9,28.0,9.5,0,4,11.6,13.5,3.679750944773672
10.0,0.0,8.8,23.0,6.6,0,0,9.18,10.75,3.4047891564542403
6.5,1.0,9.4,11.666666666666666,4.4,0,3,6.56,4.333333333333333,3.2331834843809255
8.333333333333334,1.0,12.0,27.0,8.3,1,3,11.07,12.625,4.042497151805522
25.0,1.0,9.8,21.333333333333332,8.2,2,3,10.34,11.333333333333334,3.6401671353819594
10.5,1.0,12.7,23.666666666666668,8.0,1,1,10.9,11.166666666666666,3.7961767664556767
9.5,1.0,5.9,12.333333333333334,3.9,0,1,5.53,4.833333333333333,3.2864629612967997
7.666666666666667,1.2,10.1,18.307692307692307,7.7,7,15,10.59,7.142857142857142,4.687024547899092
9.0,1.0,11.1,18.0,7.8,2,2,9.52,7.666666666666666,3.539858797205346
