,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14
story_idx,0.01801182171829431,-0.11932842981959274,0.13186852190564044,0.07291382861815371,0.1834413947856679,0.4408603458975645,0.6319771719725162,0.20402994574658997,-0.16176988428072575,0.3847776739633137,-0.25788899987818814,-0.15851698514654866,-0.04655045357453775,-0.03865487948210935
coherence_analysis.best_num_topics,-0.07518536084575236,0.27363336412221073,0.07444609880017644,0.06507506864231419,-0.4010024153216961,-0.04166653801047778,-0.027262339644725173,0.6175628767190615,0.05391575895074815,0.180394309601862,0.4333422411148954,-0.2994475503675378,-0.012368977753043358,0.1922646862451814
originality_analysis.log_likelihood,0.21304654088869843,0.4217242233683571,-0.06329932214145538,0.21639175547547973,-0.08633043748135422,-0.0333639916295478,0.056295732011386365,-0.26836994913669027,-0.22128228836707722,0.07446503008957156,-0.031994536346168556,-0.2420783850359733,0.06418884259919688,-0.1360668787727034
stylistic_analysis.linguistic_metrics.lexical_diversity.MTLD,-0.057835174181706264,0.07077014705107185,0.16397627853574093,-0.2689930107674793,0.02868031237760012,-0.4346745869705281,0.5654309470903232,-0.3030605180651351,0.0606421041366123,0.05248395959861983,0.46740339907748774,0.06867670475215086,0.13620311588043804,-0.10585005751608242
stylistic_analysis.linguistic_metrics.average_sentence_length,-0.03065296241809595,-0.0030205253071195776,0.5281970310974964,0.05226125404791398,-0.1352858687000617,-0.14626048422150795,-0.11015218793782869,-0.053558105010260475,-0.07093229734566796,-0.05494075370611748,-0.14275118025622904,-0.18579031602275947,-0.40096587605726075,-0.3191339948146163
stylistic_analysis.linguistic_metrics.dependency_variety,0.2939929303292048,0.3871856116011521,0.0272334702681198,0.01162795065225137,0.06827018844851823,0.009811901534202304,-0.012378665110043876,-0.17763409657946583,0.03133103492641637,0.04167991273201131,-0.05172765241738932,-0.25607008592845193,-0.15455187627413386,0.004042989841789255
stylistic_analysis.linguistic_metrics.sentence_complexity_index,0.030299539592202974,0.19823250028069775,0.436101183616524,-0.16159316798186285,0.1481795257531041,0.29685692141049674,-0.15377484070639844,-0.004568724301586979,0.3126000121632336,-0.18180487976183793,0.056977933209835206,0.013173746833230509,-0.11616787515716621,-0.044908174734461764
stylistic_analysis.linguistic_metrics.average_tree_depth,-0.26271241964229064,0.06763371859620584,0.2895918344242025,0.13861917054042508,-0.18822407658127385,-0.20368060033798618,-0.12841567080561547,0.040442077528583364,-0.30897446926854555,0.08216063819482389,-0.31235673765220784,0.1929436170793128,0.5010174471343417,0.034722824859997205
stylistic_analysis.linguistic_metrics.max_subordination_depth,0.10452670624994459,0.3396278162445672,0.25223634946640877,-0.16774809720010206,0.301413049217082,0.3342585993994492,-0.07748290646937216,0.006069614615622053,-0.035653312217665004,-0.04058578563312392,0.16757592736900653,0.30022900445527545,0.2877083376882053,0.2527906223465538
stylistic_analysis.rhetorical_devices.total_count,0.21121925012171705,0.048645692502957145,0.03295554715147033,0.13759198149070787,-0.4168536220467606,-0.02963590558649808,0.27232721748659655,-0.036380307987040214,0.6665657801380016,-0.0738022911196407,-0.35415283802065745,0.1646510887704406,0.10978049858044969,0.18202064153508635
stylistic_analysis.sentence_rhythm.std_dev_sentence_length,0.15211395872140987,-0.01768094730377217,0.16119332233798694,0.057552599131602274,0.37802402787928835,-0.4039456342003697,-0.23535816798642906,0.1055858964011843,0.27613940941115483,0.646160946199611,-0.10529195554784113,0.09201354748032833,-0.016109251934300406,-0.01879817848199056
sentiment_analysis.average_sentiment,-0.2559406068496776,0.06932615592403307,0.06451948788624244,0.5362822031487396,0.09196633158908657,-0.052682271819739335,0.0875032148353936,-0.255409762688781,-0.054843737776604874,-0.04556516523950598,0.11205048824711039,0.18055732328816726,-0.42094138691873323,0.47350143791859656
sentiment_analysis.sentiment_trend,0.06152059760184919,0.09603651309381737,0.04929537467692509,0.36741944152601036,0.43281090657462384,-0.2825261016608075,0.22124534846234453,0.45319032848790514,0.03208030708505775,-0.5082695349555965,-0.050377194550760826,-0.002341285886304072,0.11062152110352814,-0.1557834500310603
sentiment_analysis.sentiment_volatility,0.20304030875745138,0.1068031763161935,-0.05833802095950005,-0.5054086382763269,0.05265076973638203,-0.32016668885737043,0.07797110249870558,0.1446091758306217,-0.23856124272392473,-0.17888924984740415,-0.37014471500631835,-0.11387570025087752,-0.21037502491410798,0.44414158563670847
readability_metrics.flesch_reading_ease,-0.28596846665841286,0.24888314836121303,-0.3229156723169932,-0.11514372293864351,0.08362293328435617,0.02595473073693713,0.012159790812840807,-0.0009285169752342598,0.22525989391618634,-0.036080928202895865,-0.09869905041719136,-0.04177799224815215,0.014094346207795738,-0.286349839992071
readability_metrics.smog_index,0.24406369778980344,0.2368946609860278,-0.28414782411196543,0.021044426332967856,-0.08933091882480856,-0.002596044585475463,0.014687026359193759,0.21586434560454687,-0.14372688509806208,0.12359852542602753,0.04932176560278437,0.6114439130748911,-0.3287549287949596,-0.2786087844027128
readability_metrics.coleman_liau_index,0.3713934683625458,-0.2938334461525797,0.003654527700619013,0.07277801096623543,0.007685757798502065,-0.0073089814097714815,-0.017560495950326157,0.015614652209820896,-0.06029081352313442,0.03748925725065603,0.20836351522230875,0.053574279032799356,0.01900642761205537,0.26462752235181475
readability_metrics.dale_chall_readability_score,0.28870683678535036,-0.37839355984994755,-0.04370126943240646,0.07576260486336124,0.11097176781561188,-0.0008132993561034996,-0.12131808083867032,-0.000884218887083641,0.10582183417584137,-0.12172261687199454,0.16735697336273886,-0.2031466815694594,0.057245578399513726,-0.0997930349248565
readability_metrics.difficult_words,0.3976012221533843,0.14130020525965106,-0.0860160079765718,0.2607650710190546,-0.03890893176935725,0.012443178065669991,-0.061370140997785226,-0.15316069574831218,-0.11657728685215642,0.003201421619741542,-0.0007321625424106523,-0.13547105637079374,0.28753599588661816,-0.02255749308815959
readability_metrics.text_standard,0.27941248948658604,-0.15239409071362942,0.3120367397820122,-0.04380989151521954,-0.28633478882616725,0.03132213578110735,0.08458681510480054,0.05199741146925908,-0.19099162614476523,-0.1292339084269188,0.04539077183699037,0.2738724179725644,-0.04967608707151847,-0.20856716084033544
