,Variance
story_idx,313.06604796098094
coherence_analysis.local_coherence_embeddings,0.01584975347218151
coherence_analysis.entity_coherence,0.010316942014194487
coherence_analysis.overall_coherence,0.021643169060192716
coherence_analysis.best_num_topics,6.885584609131554
coherence_analysis.coherence_values.2,0.0039943218022731805
coherence_analysis.coherence_values.3,0.0051279742089415424
coherence_analysis.coherence_values.4,0.004452091569410318
coherence_analysis.coherence_values.5,0.0060648109892948235
coherence_analysis.coherence_values.6,0.004046653791083103
coherence_analysis.coherence_values.7,0.004516173314106095
coherence_analysis.coherence_values.8,0.003987324978244501
coherence_analysis.coherence_values.9,0.0036005088483524682
coherence_analysis.coherence_values.10,0.0032267106127879543
originality_analysis.semantic_distance,0.006270816730480102
originality_analysis.log_likelihood,457690.34125317377
stylistic_analysis.linguistic_metrics.lexical_diversity.TTR,0.011910241423583585
stylistic_analysis.linguistic_metrics.lexical_diversity.log_TTR,0.0010298483399992509
stylistic_analysis.linguistic_metrics.lexical_diversity.MTLD,1614331.190691412
stylistic_analysis.linguistic_metrics.average_sentence_length,46.92570053081844
stylistic_analysis.linguistic_metrics.num_subordinate_clauses,19.129454003522554
stylistic_analysis.linguistic_metrics.dependency_variety,18.43009077360791
stylistic_analysis.linguistic_metrics.sentence_complexity_index,0.9791566887011669
stylistic_analysis.linguistic_metrics.average_tree_depth,0.23291559690757715
stylistic_analysis.linguistic_metrics.max_subordination_depth,0.8067335049451294
stylistic_analysis.linguistic_metrics.average_subordination_depth,0.12592554827844124
stylistic_analysis.rhetorical_devices.total_count,3.252133857200922
stylistic_analysis.rhetorical_devices.variety,1.8680395610350906
stylistic_analysis.semantic_density.cosine_similarity,0.0001633176497958959
stylistic_analysis.semantic_density.entropy,0.1087773442463122
stylistic_analysis.sentence_rhythm.average_sentence_length,46.92570053081844
stylistic_analysis.sentence_rhythm.std_dev_sentence_length,40.73475483932694
stylistic_analysis.sentence_rhythm.average_change,82.51005570561645
stylistic_analysis.sentence_rhythm.coefficient_of_variation,0.045281299480588524
sentiment_analysis.average_sentiment,0.25214200311367724
sentiment_analysis.variance_sentiment,0.1377517665500687
sentiment_analysis.average_entropy,0.002310088059790727
sentiment_analysis.average_max_confidence,0.0007183172759832716
sentiment_analysis.average_valence_intensity,0.0028732687961974916
sentiment_analysis.sentiment_distribution_positive,0.06406842887481255
sentiment_analysis.sentiment_distribution_negative,0.06406842887481255
sentiment_analysis.sentiment_trend,0.20969515399216643
sentiment_analysis.sentiment_volatility,0.4058367022498488
sentiment_analysis.emotional_richness,0.023442705899593273
sentiment_analysis.temporal_dynamics,0.02370192522994789
sentiment_analysis.emotional_complexity,0.004191027763331362
sentiment_analysis.emotional_volatility,0.09369786105106655
sentiment_analysis.emotional_persistence,0.09369786105106656
sentiment_analysis.emotional_oscillation,0.003224049828956193
thematic_analysis.entropy_score,0.18713036421385612
thematic_analysis.inter_theme_similarity,0.10926364963439075
thematic_analysis.graph_density,0.05386954492766716
thematic_analysis.graph_modularity,1.0103239052523211e-34
readability_metrics.flesch_reading_ease,111.76972735401704
readability_metrics.flesch_kincaid_grade,6.897241566183444
readability_metrics.smog_index,22.91340536512668
readability_metrics.coleman_liau_index,5.445986214605067
readability_metrics.automated_readability_index,11.09106354152554
readability_metrics.dale_chall_readability_score,2.0022159328004334
readability_metrics.difficult_words,38.496477442081016
readability_metrics.linsear_write_formula,14.620814876729844
readability_metrics.gunning_fog,6.995468534073973
readability_metrics.text_standard,7.1253217721176005
stylistic_analysis.rhetorical_devices.counts.metaphors,0.33596491228070186
stylistic_analysis.rhetorical_devices.counts.similes,0.0
stylistic_analysis.rhetorical_devices.counts.alliteration,0.9389473684210528
stylistic_analysis.rhetorical_devices.counts.irony,0.3050877192982456
stylistic_analysis.rhetorical_devices.counts.personification,0.013157894736842106
stylistic_analysis.rhetorical_devices.counts.hyperbole,0.06228070175438596
stylistic_analysis.rhetorical_devices.counts.oxymoron,0.025964912280701757
stylistic_analysis.rhetorical_devices.counts.synesthesia,0.0
stylistic_analysis.rhetorical_devices.counts.anaphora,0.0
stylistic_analysis.rhetorical_devices.counts.onomatopoeia,0.0
stylistic_analysis.rhetorical_devices.counts.paradox,0.013157894736842111
stylistic_analysis.rhetorical_devices.counts.rhetorical_questions,0.013157894736842108
stylistic_analysis.rhetorical_devices.counts.euphony,0.0
stylistic_analysis.rhetorical_devices.counts.enumerations,0.32894736842105254
stylistic_analysis.rhetorical_devices.counts.allusions,0.16842105263157894
stylistic_analysis.rhetorical_devices.counts.sarcasm,0.0
stylistic_analysis.rhetorical_devices.counts.symbolism,0.09543859649122807
stylistic_analysis.rhetorical_devices.counts.epiphora,0.0
stylistic_analysis.rhetorical_devices.counts.paronomasia,0.013157894736842106
