Variable 1,Variable 2,Correlation
originality_analysis.log_likelihood,stylistic_analysis.linguistic_metrics.num_subordinate_clauses,0.858417493402279
stylistic_analysis.linguistic_metrics.average_sentence_length,stylistic_analysis.linguistic_metrics.sentence_complexity_index,0.8173985517052827
stylistic_analysis.rhetorical_devices.counts.metaphors,stylistic_analysis.rhetorical_devices.total_count,0.8201892889656415
stylistic_analysis.linguistic_metrics.average_sentence_length,stylistic_analysis.sentence_rhythm.average_sentence_length,1.0
stylistic_analysis.linguistic_metrics.sentence_complexity_index,stylistic_analysis.sentence_rhythm.average_sentence_length,0.8173985517052827
stylistic_analysis.linguistic_metrics.average_sentence_length,stylistic_analysis.sentence_rhythm.std_dev_sentence_length,0.8233558856348385
stylistic_analysis.sentence_rhythm.average_sentence_length,stylistic_analysis.sentence_rhythm.std_dev_sentence_length,0.8233558856348385
stylistic_analysis.linguistic_metrics.average_sentence_length,stylistic_analysis.sentence_rhythm.average_change,0.8374093316399827
stylistic_analysis.sentence_rhythm.average_sentence_length,stylistic_analysis.sentence_rhythm.average_change,0.8374093316399827
stylistic_analysis.sentence_rhythm.std_dev_sentence_length,stylistic_analysis.sentence_rhythm.average_change,0.9166826165185842
sentiment_analysis.average_sentiment,sentiment_analysis.sentiment_volatility,0.8108974748027415
stylistic_analysis.linguistic_metrics.average_sentence_length,readability_metrics.flesch_kincaid_grade,0.836496641382881
stylistic_analysis.sentence_rhythm.average_sentence_length,readability_metrics.flesch_kincaid_grade,0.836496641382881
readability_metrics.flesch_reading_ease,readability_metrics.flesch_kincaid_grade,0.9600582690739444
readability_metrics.flesch_reading_ease,readability_metrics.smog_index,0.9662759403200342
readability_metrics.flesch_kincaid_grade,readability_metrics.smog_index,0.9529887290790372
readability_metrics.flesch_reading_ease,readability_metrics.coleman_liau_index,0.9176524215232251
readability_metrics.flesch_kincaid_grade,readability_metrics.coleman_liau_index,0.8477892620205515
readability_metrics.smog_index,readability_metrics.coleman_liau_index,0.9130627119286333
stylistic_analysis.linguistic_metrics.average_sentence_length,readability_metrics.automated_readability_index,0.8309202975803447
stylistic_analysis.sentence_rhythm.average_sentence_length,readability_metrics.automated_readability_index,0.8309202975803447
readability_metrics.flesch_reading_ease,readability_metrics.automated_readability_index,0.9345680946662305
readability_metrics.flesch_kincaid_grade,readability_metrics.automated_readability_index,0.9826697647489862
readability_metrics.smog_index,readability_metrics.automated_readability_index,0.9475967859296238
readability_metrics.coleman_liau_index,readability_metrics.automated_readability_index,0.8849793297097468
readability_metrics.flesch_reading_ease,readability_metrics.dale_chall_readability_score,0.8602449326924212
readability_metrics.flesch_kincaid_grade,readability_metrics.dale_chall_readability_score,0.8654255660280684
readability_metrics.smog_index,readability_metrics.dale_chall_readability_score,0.886544684880515
readability_metrics.coleman_liau_index,readability_metrics.dale_chall_readability_score,0.8691733160097463
readability_metrics.automated_readability_index,readability_metrics.dale_chall_readability_score,0.8978799263747326
readability_metrics.flesch_reading_ease,readability_metrics.difficult_words,0.8520324403217007
readability_metrics.flesch_kincaid_grade,readability_metrics.difficult_words,0.8265295376364954
readability_metrics.smog_index,readability_metrics.difficult_words,0.8830553057229902
readability_metrics.automated_readability_index,readability_metrics.difficult_words,0.8255787677644688
readability_metrics.dale_chall_readability_score,readability_metrics.difficult_words,0.8185103111038623
stylistic_analysis.linguistic_metrics.average_sentence_length,readability_metrics.gunning_fog,0.8888338684247356
stylistic_analysis.sentence_rhythm.average_sentence_length,readability_metrics.gunning_fog,0.8888338684247356
stylistic_analysis.sentence_rhythm.average_change,readability_metrics.gunning_fog,0.8275364748021217
readability_metrics.flesch_reading_ease,readability_metrics.gunning_fog,0.8939476901866263
readability_metrics.flesch_kincaid_grade,readability_metrics.gunning_fog,0.9751214596652141
readability_metrics.smog_index,readability_metrics.gunning_fog,0.9326505844362045
readability_metrics.automated_readability_index,readability_metrics.gunning_fog,0.9746900215185967
readability_metrics.dale_chall_readability_score,readability_metrics.gunning_fog,0.8832107883398244
readability_metrics.difficult_words,readability_metrics.gunning_fog,0.8151220636175742
readability_metrics.linsear_write_formula,readability_metrics.gunning_fog,0.8143699306243799
readability_metrics.flesch_reading_ease,readability_metrics.text_standard,0.8128065234521725
readability_metrics.flesch_kincaid_grade,readability_metrics.text_standard,0.8109083608237331
readability_metrics.smog_index,readability_metrics.text_standard,0.8421372159481836
readability_metrics.coleman_liau_index,readability_metrics.text_standard,0.8223311574217623
readability_metrics.automated_readability_index,readability_metrics.text_standard,0.8392561106170006
readability_metrics.gunning_fog,readability_metrics.text_standard,0.8167986014390205
