,Variance
story_idx,12.170212765957446
coherence_analysis.local_coherence_embeddings,0.0025712420259490086
coherence_analysis.entity_coherence,0.0013431328806051152
coherence_analysis.overall_coherence,0.004598836479545402
coherence_analysis.best_num_topics,3.7429078014184394
coherence_analysis.coherence_values.2,0.0022859500029884074
coherence_analysis.coherence_values.3,0.00262536672450703
coherence_analysis.coherence_values.4,0.0020398535010051747
coherence_analysis.coherence_values.5,0.0020589919651270894
coherence_analysis.coherence_values.6,0.0018176747809136602
coherence_analysis.coherence_values.7,0.001677504048364347
coherence_analysis.coherence_values.8,0.001214236560138695
coherence_analysis.coherence_values.9,0.001562629637028555
coherence_analysis.coherence_values.10,0.0009363972610575076
originality_analysis.semantic_distance,0.004022810259233016
originality_analysis.log_likelihood,54564939.82167738
stylistic_analysis.linguistic_metrics.lexical_diversity.TTR,0.0024441097726405825
stylistic_analysis.linguistic_metrics.lexical_diversity.log_TTR,0.0002358918467596735
stylistic_analysis.linguistic_metrics.lexical_diversity.MTLD,750.9807608329234
stylistic_analysis.linguistic_metrics.average_sentence_length,17.05175166045908
stylistic_analysis.linguistic_metrics.num_subordinate_clauses,1434.3191489361702
stylistic_analysis.linguistic_metrics.dependency_variety,2.7867907801418443
stylistic_analysis.linguistic_metrics.sentence_complexity_index,0.12214396922693742
stylistic_analysis.linguistic_metrics.average_tree_depth,0.034490090711450726
stylistic_analysis.linguistic_metrics.max_subordination_depth,0.33865248226950356
stylistic_analysis.linguistic_metrics.average_subordination_depth,0.0035164846159427996
stylistic_analysis.rhetorical_devices.counts.metaphors,7.340404040404041
stylistic_analysis.rhetorical_devices.counts.similes,3.688888888888888
stylistic_analysis.rhetorical_devices.counts.alliteration,7.404040404040405
stylistic_analysis.rhetorical_devices.counts.irony,0.3434343434343435
stylistic_analysis.rhetorical_devices.counts.personification,2.3585858585858586
stylistic_analysis.rhetorical_devices.counts.hyperbole,0.3
stylistic_analysis.rhetorical_devices.counts.oxymoron,0.2545454545454545
stylistic_analysis.rhetorical_devices.counts.synesthesia,0.17676767676767677
stylistic_analysis.rhetorical_devices.counts.anaphora,0.2454545454545455
stylistic_analysis.rhetorical_devices.counts.onomatopoeia,0.33131313131313134
stylistic_analysis.rhetorical_devices.counts.paradox,0.3252525252525253
stylistic_analysis.rhetorical_devices.counts.rhetorical_questions,0.9949494949494949
stylistic_analysis.rhetorical_devices.counts.euphony,0.22727272727272727
stylistic_analysis.rhetorical_devices.counts.enumerations,0.7454545454545456
stylistic_analysis.rhetorical_devices.counts.allusions,0.5636363636363637
stylistic_analysis.rhetorical_devices.counts.sarcasm,0.14949494949494951
stylistic_analysis.rhetorical_devices.counts.symbolism,0.3888888888888889
stylistic_analysis.rhetorical_devices.counts.epiphora,0.06363636363636366
stylistic_analysis.rhetorical_devices.counts.paronomasia,0.08282828282828283
stylistic_analysis.rhetorical_devices.total_count,95.29787234042553
stylistic_analysis.rhetorical_devices.variety,13.652482269503546
stylistic_analysis.semantic_density.cosine_similarity,2.330437484759445e-05
stylistic_analysis.semantic_density.entropy,0.018911327475498688
stylistic_analysis.sentence_rhythm.average_sentence_length,17.05175166045908
stylistic_analysis.sentence_rhythm.std_dev_sentence_length,16.144271431256694
stylistic_analysis.sentence_rhythm.average_change,17.992967999156544
stylistic_analysis.sentence_rhythm.coefficient_of_variation,0.015207215244398333
sentiment_analysis.average_sentiment,0.13508313974866026
sentiment_analysis.variance_sentiment,0.05621934235683133
sentiment_analysis.average_entropy,9.374129841061922e-05
sentiment_analysis.average_max_confidence,9.969549552090883e-06
sentiment_analysis.average_valence_intensity,3.987819345580018e-05
sentiment_analysis.sentiment_distribution_positive,0.034112903010294085
sentiment_analysis.sentiment_distribution_negative,0.034112903010294085
sentiment_analysis.sentiment_trend,3.955921276890996e-05
sentiment_analysis.sentiment_volatility,0.06261988411612962
sentiment_analysis.emotional_richness,0.1400256911275148
sentiment_analysis.temporal_dynamics,0.006768725236517008
sentiment_analysis.emotional_complexity,0.0007323063141464429
sentiment_analysis.emotional_volatility,0.026940574713019742
sentiment_analysis.emotional_persistence,0.026940574713019742
sentiment_analysis.emotional_oscillation,0.0006506364545008639
thematic_analysis.entropy_score,0.03201777191331293
thematic_analysis.inter_theme_similarity,0.004520970965619533
thematic_analysis.graph_density,0.01586544438251992
thematic_analysis.graph_modularity,0.01622095895450043
readability_metrics.flesch_reading_ease,121.74986790780144
readability_metrics.flesch_kincaid_grade,6.4906205673758866
readability_metrics.smog_index,3.2452482269503546
readability_metrics.coleman_liau_index,4.747091090425532
readability_metrics.automated_readability_index,10.591875
readability_metrics.dale_chall_readability_score,0.8509432180851061
readability_metrics.difficult_words,5689.37189716312
readability_metrics.linsear_write_formula,15.88119123759678
readability_metrics.gunning_fog,6.063008333333333
readability_metrics.text_standard,5.828014184397162
stylistic_analysis.rhetorical_devices.counts.allegory,0.0
