stylistic_analysis.linguistic_metrics.max_subordination_depth,readability_metrics.text_standard,coherence_analysis.best_num_topics,stylistic_analysis.linguistic_metrics.lexical_diversity.MTLD,stylistic_analysis.linguistic_metrics.sentence_complexity_index,readability_metrics.linsear_write_formula,stylistic_analysis.rhetorical_devices.counts.euphony,sentiment_analysis.variance_sentiment,thematic_analysis.entropy_score,thematic_analysis.graph_density
1,12,8,55.241379310344826,0.5,14.5,0.0,3.834646849296396e-05,0.0,0.0
2,8,4,74.19493882091211,1.0,8.1,0.0,0.49856554575617934,0.0,0.0
1,7,8,103.6983799519429,0.8333333333333334,7.5,0.0,1.7975625732829304e-05,0.8112781244591328,1.0
2,9,8,-5840.068965517262,1.4,11.3,0.0,3.745020677838964e-05,0.0,0.0
2,10,10,94.66310094235448,1.5,12.25,0.0,0.00018052219671567862,0.8112781244591328,0.0
2,5,2,59.79263613861386,0.4,6.375,,0.9303328415519118,0.7854752972273343,0.3333333333333333
1,4,8,64.05718182948257,0.33962264150943394,5.2,0.0,0.8245619086705382,0.7500000000000001,0.6666666666666666
2,6,5,49.821930327749314,0.5151515151515151,7.0,0.0,0.9710591163738985,0.7928362876512273,0.0
2,8,8,44.65828375145679,0.6363636363636364,8.666666666666666,0.0,0.7533636898727,1.0,1.0
2,5,10,30.694702202821595,0.5510204081632653,6.25,0.0,0.958004165778067,0.6567045482143388,0.3333333333333333
3,6,4,102.08360016899242,0.5238095238095238,7.2857142857142865,0.0,0.9336010599545076,0.8232557641736383,0.2
3,8,5,97.05117758339406,0.5428571428571428,8.666666666666666,0.0,0.8579867868418131,0.8886295790701007,0.05128205128205128
3,5,3,43.1948846605803,0.49019607843137253,7.857142857142858,0.0,0.8515079845374222,0.7664616217704076,0.28888888888888886
2,8,3,114.65159843848913,0.7441860465116279,8.833333333333334,0.0,0.8663555041235497,0.8784952262128423,0.14285714285714285
3,5,6,81.49636423629366,0.7586206896551724,9.0,0.0,0.8826185043953018,0.6680801271869059,0.3333333333333333
4,10,9,123.59199727719911,1.3076923076923077,8.833333333333334,0.0,0.7852408211952948,0.8312595767133785,0.4
2,8,3,119.05602745826693,1.0833333333333333,7.571428571428571,0.0,0.5513240135448214,0.6254181156238111,0.3333333333333333
2,11,2,140.6780693133876,1.05,10.5,0.0,0.6506608543082866,0.8260742242427032,0.6666666666666666
3,10,2,124.85106382978724,1.35,10.5,0.0,0.6461047483717606,0.603759374819711,0.16666666666666666
2,8,6,95.53006993006994,0.9090909090909091,8.666666666666666,0.0,0.9389577008043645,0.3912435636292556,1.0
3,9,5,97.8505721551176,1.6,14.5,0.0,0.8530455127044109,0.7862242370244185,0.2222222222222222
2,8,7,60.528768002221355,1.5217391304347827,19.333333333333332,1.0,0.5651224449123471,0.4170003529988692,0.5
4,8,5,112.54817881925268,1.7872340425531914,15.0,1.0,0.7552038546375551,0.5685067836051109,0.5
5,8,3,108.87919289449022,1.3191489361702127,15.75,0.0,0.944842176619749,0.8147490203949747,0.7
3,9,5,118.47292091490158,0.8095238095238095,8.666666666666666,1.0,0.8436404713771583,0.7851788617092678,0.2777777777777778
2,7,5,242.15622176034702,0.8095238095238095,8.428571428571429,0.0,0.9089082797257788,0.5816718657178869,0.3333333333333333
3,10,2,151.24302788844622,1.875,8.428571428571429,0.0,0.96206748365963,0.5462947022805018,0.0
2,8,7,159.29514996526842,0.7916666666666666,11.6,0.0,0.8450840736288379,0.603759374819711,0.16666666666666666
3,9,7,143.75920804346094,0.56,8.0,0.0,0.9113522902244053,0.43949698692151334,0.0
2,10,4,301.3946214903448,0.9583333333333334,12.2,0.0,0.7505252313730706,0.6913698302025115,0.3333333333333333
3,4,8,68.42243752306143,0.8289473684210527,4.6,0.0,0.9079893952744433,0.8950955748887559,0.10606060606060606
2,8,8,-474.97325113299604,0.625,6.214285714285714,1.0,0.9781073490994308,0.9182958340544894,0.0
4,10,6,71.32612734335416,1.2121212121212122,11.2,0.0,0.8996402884486872,0.8903168648182229,0.10714285714285714
3,8,8,75.80814479638009,1.0384615384615385,6.25,0.0,0.9652452861888525,0.6913698302025115,0.6666666666666666
2,12,6,-994.5714285714275,1.75,12.5,0.0,0.9889809581027443,0.9182958340544894,0.0
4,8,3,63.149324300111516,2.0,8.666666666666666,0.0,0.26983664400010743,0.3533593350214213,0.0
2,5,9,72.87612732095491,1.3125,5.875,0.0,0.18856868280623384,0.43949698692151334,0.0
2,8,7,81.20041762536124,1.625,8.833333333333334,1.0,0.3883531473464486,0.8446958733715438,0.6666666666666666
3,8,5,70.6835102503849,1.5714285714285714,7.428571428571429,0.0,0.4787451409725952,0.5462947022805018,0.3333333333333333
3,5,3,91.006605549147,1.9130434782608696,6.375,0.0,0.48018236425769445,0.8453509366224364,1.0
4,6,7,79.1871316291383,1.3728813559322033,8.833333333333334,0.0,0.9597234577794684,0.914429990795351,0.05128205128205128
3,6,8,146.21017293040427,0.6607142857142857,6.875,0.0,0.84428357586321,0.8445412186038312,0.12380952380952381
3,7,7,120.72134128565236,0.7926829268292683,8.333333333333334,0.0,0.740965925665779,0.9676665221623334,0.0
3,7,7,125.39564987003314,0.660377358490566,8.5,1.0,0.9522456921502581,0.8847531490039167,0.09558823529411764
3,7,2,103.99100492793423,0.8472222222222222,9.0,0.0,0.7457744276534286,0.8559412882893362,0.19444444444444445
3,7,10,80.83133433283359,1.3157894736842106,12.0,0.0,0.7906789542667219,0.5152734452350944,0.0
3,7,6,112.29643688071715,1.2777777777777777,11.6,0.0,0.42849964405025875,0.7298466991620977,0.0
3,9,10,97.44022298840281,1.375,11.2,0.0,0.49991096298180154,0.720493040054508,0.2
3,8,4,107.02173300846057,1.0666666666666667,8.833333333333334,0.0,0.8840550574536604,0.7743974703476993,0.0
3,7,7,66.55555555555556,1.3823529411764706,11.6,0.0,0.6807090935203304,0.9401204074720739,0.8333333333333334
4,8,3,213.31851356850922,1.8,8.833333333333334,0.0,0.6164921010139172,0.7121969722470913,0.2857142857142857
3,9,10,-17663.22580645144,1.2608695652173914,14.75,0.0,0.9477745427136485,0.9414324415725632,0.06060606060606061
4,8,4,155.6135777118559,1.6944444444444444,10.666666666666666,0.0,0.6121214662296451,0.9487695103589051,0.47619047619047616
2,8,3,168.64874133551385,0.88,11.4,0.0,0.1706650777827389,0.7896900821428476,0.3333333333333333
3,9,2,310.14543279649115,0.9615384615384616,6.125,0.0,0.4885121592456579,0.9207822211616018,0.23809523809523808
2,8,3,71.81603458535817,1.2352941176470589,11.4,0.0,0.6775165648516132,0.8383685150260664,0.3333333333333333
4,6,5,89.39787621257909,0.8235294117647058,5.444444444444445,1.0,0.7339128135540507,0.8298520266946232,0.2
2,9,4,74.71505005831091,1.5555555555555556,6.714285714285714,0.0,0.21639000977668624,1.0,1.0
3,8,7,84.35943145187461,1.4444444444444444,8.333333333333334,0.0,0.40013313301386266,0.7233083338141042,0.3333333333333333
2,7,10,53.261124401913875,1.1111111111111112,13.5,0.0,5.675665836158252e-05,0.0,0.0
3,6,9,58.845464356751684,1.44,8.833333333333334,0.0,0.8513483707326686,0.8699155297736261,1.0
3,7,8,88.25431034482759,1.3703703703703705,8.5,0.0,0.39407019231068074,0.6713982813606043,0.2
3,8,5,79.99119718309859,1.4516129032258065,8.166666666666666,0.0,0.7199222567352409,0.7709118050664145,0.13333333333333333
3,7,4,66.28486866444692,1.0714285714285714,11.8,0.0,0.6180261196603235,0.5713619478607344,0.0
2,7,3,70.60208786602527,1.1388888888888888,11.2,0.0,0.41274520494387124,0.7240345888528966,0.13333333333333333
