stylistic_analysis.rhetorical_devices.counts.symbolism,stylistic_analysis.rhetorical_devices.counts.enumerations,stylistic_analysis.rhetorical_devices.counts.euphony,coherence_analysis.best_num_topics,sentiment_analysis.variance_sentiment,thematic_analysis.entropy_score,thematic_analysis.graph_density,stylistic_analysis.rhetorical_devices.counts.allegory
1,1,0,2,0.9584320769160452,0.7455574250275929,0.0,
3,2,0,2,0.37871118482500715,0.7079749057776119,1.0,
1,1,1,6,0.5930409103885115,0.5381132528060605,0.2,
0,1,0,3,0.9789643597754742,0.9499197222800561,0.13333333333333333,
1,2,0,3,0.48648253887310616,0.5961254301173212,0.3333333333333333,
2,2,1,2,0.35401167477601037,0.33464897597846643,0.3333333333333333,
1,1,0,2,0.7491632209281714,0.9349775297671233,0.2,
2,1,1,6,0.45443703954874903,0.8586727110732552,0.1388888888888889,
1,3,1,4,0.5557815347864062,0.6606757126142571,0.23809523809523808,
0,1,0,5,0.9677440200710932,0.7954488737546178,0.06666666666666667,0.0
2,1,1,2,0.398638997285224,0.5011094889988462,0.3,
1,1,1,4,0.4350102895887785,0.8010559856836269,0.42857142857142855,
0,1,0,2,0.9533875196520623,0.96110093337444,0.03636363636363636,
2,2,1,2,0.21406823127080837,0.6677527782585486,0.3333333333333333,
3,1,1,3,0.16579278258596192,0.7955648988354529,0.6,1.0
0,0,0,2,0.9513678763663059,0.9056390622295665,0.16666666666666666,
3,2,1,3,0.41377008994916264,0.8243547363398304,0.26666666666666666,
1,2,0,2,0.5090340314071885,0.46899559358928117,1.0,
0,2,0,3,0.8920196195381777,0.9163133490018099,0.10714285714285714,
1,2,0,3,0.7454752894858099,0.7180212293982637,0.14285714285714285,
1,1,1,8,0.1704047638567835,0.5211309155951538,0.2,
0,1,0,2,0.944586257524299,0.8682599776795893,0.09090909090909091,
1,1,1,5,0.30551953075158184,0.7023392365317856,0.6666666666666666,
3,1,0,4,0.5705643941043039,0.6823472767169271,0.4666666666666667,
0,1,0,4,0.842275150935252,0.7252865624344941,0.1111111111111111,
1,1,0,2,0.5189265402689562,0.7729510322715425,0.2,
1,3,0,4,0.30942267101102205,0.5407040970774404,0.3333333333333333,
0,1,0,4,0.974112116513724,0.9146984068535836,0.06666666666666667,
2,3,1,4,0.10296649091501876,0.7298466991620977,1.0,
1,1,1,4,0.18993287175755796,0.5893905718878836,0.4,
0,1,0,10,0.9803261575417301,0.46899559358928117,0.0,
2,2,0,5,0.11002634604307378,0.5487689199209769,0.3333333333333333,
1,1,1,2,0.5526130867399236,0.5267040752431784,0.3333333333333333,
1,1,0,3,0.8525698169961063,0.8560873938623892,0.3,
1,2,1,3,0.1111525071689968,0.8394415782963752,0.4666666666666667,
1,3,0,4,0.4269299612284986,0.48318813031192837,0.3,
1,1,0,8,0.9526158539937293,0.8909365694679093,0.13333333333333333,
2,2,0,4,0.6651243201204909,0.47167341781551536,0.6666666666666666,
0,3,1,8,0.33799693849143597,0.2580186686648155,0.0,0.0
1,2,0,5,0.8420113365517792,0.38824754087548435,0.0,
1,2,0,2,0.7207954482880596,0.8896129632834769,0.17857142857142858,
2,1,1,8,0.40343396223467426,0.6300790738512279,0.14285714285714285,
0,1,0,8,0.8388139954174569,0.7533334799418878,0.06666666666666667,
1,2,1,4,0.5224096245104493,0.7684626982137669,0.5,
2,2,1,5,0.689863034058367,0.7089746869722108,0.5,1.0
0,2,0,4,0.9055731090304188,0.9289932003834291,0.08888888888888889,
1,2,1,3,0.3094991068081873,0.5580383068567462,0.13333333333333333,0.0
1,1,2,3,0.08448988536650043,0.33464897597846643,0.3333333333333333,0.0
1,2,0,4,0.9847910893320154,0.8716094351158712,0.044444444444444446,
2,2,1,2,0.21407004077817257,0.3727052964167112,0.3333333333333333,
2,4,1,3,0.5117328464626164,0.33464897597846643,0.6666666666666666,
0,1,0,4,0.9142916167304502,0.9526573636515285,0.047619047619047616,
1,1,1,4,0.38691232661882197,0.7309886647187626,0.4,
1,2,1,9,0.33522280728012227,0.6216501842694789,0.3333333333333333,
0,1,0,4,0.9342367988241425,0.9172088932791937,0.2,
3,1,1,4,0.4182495754857822,0.5264143616682584,0.6666666666666666,
3,1,0,5,0.5279831364017653,0.0,0.0,
1,2,0,9,0.9118639493776609,0.8746845143040608,0.022222222222222223,
1,2,0,4,7.045507390127745e-05,0.3095434291503252,0.0,
1,1,1,3,0.4226954715840135,0.0,0.0,
0,2,0,3,0.9245212940712209,0.9767405284749316,0.0,
2,3,1,2,0.0001398606600629671,0.3727052964167112,0.3333333333333333,
1,1,1,5,0.40328278687719926,0.7161265870466756,0.21428571428571427,
1,1,0,6,0.972567566526197,0.9693498878507173,0.01904761904761905,
2,2,0,2,0.69173887742743,0.40392528723498317,0.6666666666666666,
2,2,1,2,4.2650599527929824e-05,0.5267040752431784,0.3333333333333333,
1,3,0,6,0.9339813926409661,0.8744501897863957,0.09090909090909091,
1,2,1,10,0.3625951714433387,0.5011094889988462,0.1,
3,1,1,9,0.38986378510698566,0.5772838410446852,0.3333333333333333,
1,3,0,2,0.9110041132425579,0.9805402605435627,0.006535947712418301,
2,2,1,4,0.3664394277610627,0.5759200477570119,0.3,
2,2,1,2,0.32671357671426804,0.2761954276479391,1.0,0.0
0,1,0,2,0.8792562396421199,0.9609640474436812,0.16666666666666666,
1,3,1,3,0.11977282935288218,0.6159908907005701,0.6666666666666666,
1,1,2,9,0.4031848689004814,0.46372396160615587,0.16666666666666666,
0,1,0,7,0.6808183928117858,0.9609640474436812,0.0,
2,1,1,5,0.4920207205821545,0.5205367701154832,0.1,
1,1,1,4,0.09922778248931481,0.3589962496465304,0.3333333333333333,
1,1,0,5,0.972395842287035,0.7464149607974074,0.1111111111111111,0.0
2,2,1,3,0.33226056671965654,0.2974722489192897,0.0,
2,1,0,3,0.46028162302532144,0.4560725552838437,0.6666666666666666,
1,3,0,6,0.9082974706616611,0.882688042457222,0.1978021978021978,
1,1,1,4,0.29555623051092145,0.7416130984854556,0.3333333333333333,
1,2,1,5,0.32519691220698216,0.6678971982446581,0.13333333333333333,
0,1,0,2,0.9324017587897534,0.9731973151785934,0.027777777777777776,0.0
1,2,1,6,0.30498575103599124,0.8390974419694665,0.3333333333333333,
2,2,1,7,0.1720735873738092,0.6239428985715834,0.14285714285714285,
1,1,0,4,0.8659122892736515,0.8836333707797247,0.06666666666666667,
1,2,0,4,0.21213850100379572,0.5487689199209769,0.16666666666666666,
2,3,0,10,0.46569323575190946,0.5893905718878836,0.5,0.0
1,1,0,3,0.9632263373719975,0.8537510532665805,0.23809523809523808,
1,2,0,4,0.532091685914241,0.9533121741089737,0.3055555555555556,
1,1,0,5,0.7409970653926812,0.5267040752431784,0.5,
1,2,0,3,0.9788655850707639,0.9229451190312816,0.1111111111111111,0.0
