stylistic_analysis.linguistic_metrics.max_subordination_depth,stylistic_analysis.linguistic_metrics.dependency_variety,stylistic_analysis.linguistic_metrics.lexical_diversity.MTLD,story_idx,stylistic_analysis.rhetorical_devices.variety,sentiment_analysis.emotional_richness,coherence_analysis.best_num_topics,stylistic_analysis.rhetorical_devices.counts.synesthesia,stylistic_analysis.rhetorical_devices.counts.euphony,stylistic_analysis.rhetorical_devices.counts.sarcasm,stylistic_analysis.rhetorical_devices.counts.epiphora,stylistic_analysis.rhetorical_devices.counts.paronomasia,sentiment_analysis.variance_sentiment
3,40,89.36562961005035,0,11,2.142857142857143,7,1.0,0.0,0.0,0.0,0.0,0.8397725355553398
3,37,88.83292170173524,0,10,2.0,10,0.0,1.0,0.0,0.0,0.0,0.9047139002129022
5,39,100.09152368004112,0,9,2.5714285714285716,10,0.0,0.0,0.0,0.0,0.0,0.4822593391410876
4,40,102.42219872946922,0,13,1.8571428571428572,9,1.0,1.0,0.0,0.0,0.0,0.834793671841018
4,40,77.50222146509054,1,12,1.5714285714285714,7,0.0,1.0,0.0,0.0,0.0,0.96616992739059
4,37,110.29459287218808,1,19,2.0,7,1.0,1.0,1.0,1.0,1.0,0.9206951893795704
4,37,92.47589638779047,1,9,2.7142857142857144,10,0.0,1.0,0.0,0.0,0.0,0.4324462435096984
3,38,117.34596465658589,1,11,2.142857142857143,6,0.0,0.0,1.0,0.0,0.0,0.8744919420033279
4,40,106.14787718750028,2,10,1.1428571428571428,7,0.0,0.0,0.0,0.0,1.0,0.819144560798927
3,37,130.89967710967676,2,10,1.5714285714285714,9,0.0,1.0,0.0,0.0,0.0,0.9707193439084261
3,36,100.92046839509828,2,9,2.0,4,0.0,1.0,0.0,0.0,0.0,0.6430893545533655
3,38,192.41692108457875,2,0,2.0,6,,,,,,0.960318600068368
3,40,114.17247779857345,3,19,2.4285714285714284,10,1.0,1.0,1.0,1.0,1.0,0.9497922778571605
4,39,159.75760666575752,3,12,2.142857142857143,6,1.0,1.0,0.0,0.0,0.0,0.30707640081905535
4,39,90.59782080247089,3,11,2.2857142857142856,10,0.0,1.0,0.0,0.0,0.0,0.15952584889215138
3,40,143.85765982295493,3,19,2.142857142857143,10,1.0,1.0,1.0,1.0,1.0,0.7397262592595429
4,39,91.58765916251406,4,12,1.1428571428571428,7,0.0,0.0,0.0,0.0,0.0,0.8876907793266379
4,35,157.76515940811427,4,10,1.4285714285714286,8,0.0,1.0,0.0,0.0,0.0,0.9552952274335699
3,38,86.54591035968505,4,11,1.4285714285714286,10,0.0,1.0,0.0,0.0,0.0,0.6349801978711804
4,39,124.63504565685419,4,10,1.4285714285714286,10,0.0,1.0,0.0,0.0,0.0,0.9446924050080238
3,38,94.87138717985405,5,0,1.5714285714285714,8,,,,,,0.9051995310165897
4,39,127.03721419972948,5,12,1.8571428571428572,8,0.0,1.0,0.0,0.0,0.0,0.8420744858448177
4,39,111.48249227849608,5,12,2.2857142857142856,8,0.0,1.0,1.0,0.0,0.0,0.24938917666090893
4,41,105.50026401319738,5,14,2.2857142857142856,10,0.0,1.0,1.0,0.0,0.0,0.9278210773438833
4,40,97.69544365583454,6,12,2.142857142857143,9,0.0,0.0,0.0,0.0,0.0,0.9376584148715339
4,37,100.48434234424664,6,8,1.8571428571428572,8,0.0,0.0,0.0,0.0,0.0,0.9533555503486504
4,36,86.02517772200451,6,8,1.8571428571428572,5,0.0,0.0,0.0,0.0,0.0,0.48527275904364936
3,41,158.684990105209,6,10,1.7142857142857142,6,0.0,1.0,0.0,0.0,0.0,0.8690054459456302
3,40,92.51538476914746,7,9,1.8571428571428572,7,0.0,0.0,0.0,0.0,0.0,0.9681186545038306
3,38,120.41012418158144,7,9,1.2857142857142858,9,0.0,1.0,0.0,0.0,0.0,0.5191540411519897
3,37,97.21665873142095,7,12,2.142857142857143,10,0.0,1.0,0.0,0.0,0.0,0.4685302980596915
4,42,116.1476582310795,7,11,1.7142857142857142,9,1.0,1.0,0.0,0.0,0.0,0.8554406890442801
4,36,87.06851717574423,8,9,1.4285714285714286,8,0.0,0.0,0.0,0.0,0.0,0.8504475498326887
2,37,123.45074140237601,8,9,1.8571428571428572,3,1.0,0.0,0.0,0.0,0.0,0.9636791313535455
3,36,114.2018726132315,8,10,1.8571428571428572,9,0.0,1.0,0.0,0.0,0.0,0.48600652155661284
3,39,100.86612251209436,8,14,1.7142857142857142,4,1.0,1.0,0.0,0.0,0.0,0.9740870918728715
3,38,81.15362338684832,9,9,1.7142857142857142,6,0.0,0.0,0.0,0.0,0.0,0.9684352002842336
3,39,147.9462580992577,9,0,1.2857142857142858,10,,,,,,0.7459350998727887
3,38,110.3860770889504,9,11,2.142857142857143,8,0.0,1.0,0.0,0.0,0.0,0.3298934125306622
3,38,125.60412060511797,9,11,2.142857142857143,10,1.0,1.0,0.0,0.0,0.0,0.8188322683262367
4,38,109.43102451370783,10,11,1.8571428571428572,4,0.0,0.0,1.0,0.0,0.0,0.8751112410339484
3,38,154.25029813964727,10,9,2.4285714285714284,8,0.0,1.0,0.0,0.0,0.0,0.772766011866598
3,36,96.47728219879485,10,10,2.0,9,0.0,1.0,0.0,0.0,0.0,0.28355194966279773
4,38,106.65833840656634,10,8,2.0,6,0.0,1.0,0.0,0.0,0.0,0.9629987888986168
4,42,78.23125951825409,11,12,1.4285714285714286,5,0.0,0.0,1.0,0.0,0.0,0.9674915609936795
3,38,173.99044730164417,11,10,2.4285714285714284,8,0.0,0.0,0.0,0.0,0.0,0.9242644677290868
3,35,112.85019317194107,11,12,2.142857142857143,9,0.0,1.0,0.0,0.0,0.0,0.47210085599150664
3,39,173.54997824754153,11,11,1.5714285714285714,7,0.0,1.0,0.0,0.0,0.0,0.9331314187325743
